Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..National Capital Region (NCR),625065730,733345363,795453494,908086933,1054352542,1094072953,1116110417,1133003466,1228082925,1145024503,1473193749,1540873567,1602540806,1780900154,1970666203,1908526400,2189787398,2797946936,3428634374,3456543125,2624772626,3301738271,4156366472,4387782496,823253659,951587624,1014302078,1088961333,1132413065,1169437488,1184218925,1186203103,1252465018,1224252940,1486077137,1476216765,1558405779,1665462764,1825252173,2117738886,2557722864,2917690298,3428634374,3421811085,2769058059,3159794290,3496312935,3630399915
..Cordillera Administrative Region (CAR),4119220,4642055,4912526,5382502,6240453,6339885,6500389,6531950,7275217,6836193,8117641,8805557,9763318,10712987,11849406,17068676,20540544,26325210,29015296,37185977,21102711,19823840,42544105,51698405,8461080,9125786,9736396,10144885,10617668,10852126,10910565,10936356,11612896,11266651,13611610,13510718,14613503,15813245,17161236,20067986,23658869,26877432,29015296,36606402,21021998,17875558,33659503,41705535
..Region I (Ilocos Region),8182988,9569633,10662859,11673100,13677931,12958409,13019795,13255875,16398663,14675032,17296757,16426720,18082856,19843911,25977801,26974022,31016089,37551713,45513306,52092720,33264525,25330908,50874382,68092362,13497895,13926500,15202849,15217202,15917654,14824695,15033117,15576203,18863980,18090859,21276001,19519596,21588573,23811213,26202892,29895574,34298369,38308797,45513306,51300737,32469794,24561323,45762153,59365952
..Region II (Cagayan Valley),35777739,39530256,44870723,51494558,59559874,67199092,71884009,71170819,77860879,74671599,91754506,92089021,82378655,55055067,52606982,47088772,62226447,67222841,102323396,142506229,113583964,105902578,150304605,170003099,23074962,23833584,25551055,26949644,27809736,28499913,28777941,28500539,29895598,29169365,34377904,34214273,37071647,39616467,43698484,50773981,61101151,69798821,102323396,140968248,97709660,74866274,91756691,100978048
..Region III (Central Luzon),141660120,158712560,171957099,183948191,206337249,208457702,214594602,211838938,227485382,218670566,242441364,247260929,274234004,251109227,316629860,509034105,638265511,737354365,844484697,770929409,623527078,801338806,1163314719,1135146049,249999035,260071056,278980662,286783728,293943237,307535651,309054690,309257874,320446387,312765019,380556779,379050735,409611350,439017616,483062497,547859008,653765969,762326975,844484697,763284942,591102711,680559803,839051838,799085252
..Region IV-A (CALABARZON),525478504,579870315,624908726,685604929,745500636,792624279,815766006,789731714,842675671,777044257,898059018,904011089,938651976,982541867,1056860981,1327326664,1601819068,1819612267,2113093135,2339592063,1665656993,2098055492,2701492696,2639801969,657425455,684796973,737239487,767996333,786278076,826884353,820553380,807367182,837910869,821263248,984960077,972360625,1039033295,1110904587,1217786499,1383577010,1644493269,1924362026,2113093135,2340745526,1777210385,2029113699,2184847008,2132139718
..MIMAROPA Region,40961104,45222987,48218111,54039466,59190887,64387157,66340606,61531029,69002523,62522655,76121846,80709059,82957578,86080396,69786976,58095689,74610822,103299732,67215951,78026822,54886150,46324936,77324142,76395768,34609290,36788639,38911906,41601292,42976724,45613657,46020358,45003712,44925332,43964683,53290710,53457262,58590758,63338144,69778168,80778524,92689807,106521929,67215951,76043968,54115954,42752004,63019973,59818576
..Region V (Bicol Region),12660174,14415679,16100366,18354474,20808063,22062529,23499807,22507719,25028508,23606022,29979525,30700576,32066998,36378298,29155377,29579177,36918545,47561817,74924887,76573342,61567862,43724082,57397739,75965625,17347074,17989801,19153030,20158001,20770349,21052204,20969604,21281466,22570199,21644907,26381193,25906130,28644782,30798846,33800588,38724947,43730288,49274240,74924887,75257439,61049476,40414790,47577917,61825965
..Region VI (Western Visayas),12471007,14437772,15833563,17971429,19942744,20321059,21843972,21655444,23348523,21690455,27275006,27726416,31364080,43639657,65761315,95231026,113771867,119729754,171422588,162938553,126743031,169901978,291955661,273229891,43456666,45113413,48273870,49653852,51335344,54099844,54536299,54607828,55826600,53965257,64778220,64794680,70212035,74963378,82284309,95829317,106870190,124049868,171422588,159478272,131562906,167124702,252308256,227106584
..Region VII (Central Visayas),88341968,102426804,111467826,129393482,147313365,154055266,159637090,149192850,152871982,140737550,154508463,155645444,163865490,180799854,241140071,270945538,346782012,387643838,472350606,470154854,360845119,439284044,583028226,591773244,143736448,148824518,159788098,166211558,172236122,173081855,172189986,175136657,183544636,177281076,211023381,208874186,226956067,242605410,272882430,320992403,359178411,404373677,472350606,468027959,366041435,421939570,478224452,491437339
..Region VIII (Eastern Visayas),3009549,3546897,3977598,4492064,5196859,4884787,4969003,5015258,5922186,5735238,7133874,7095261,7665620,8902140,10157893,11763107,13637081,18134246,19296693,20654775,17042718,18498478,62315049,65551829,6348883,6699504,7238487,7287196,7586320,7383325,7482324,7709416,9032343,8562924,10065159,9576354,10520364,11416339,12664600,14590553,16250019,18368879,19296693,20259243,16644205,18076693,57026684,64726631
..Region IX (Zamboanga Peninsula),3419117,4133660,4662651,5169500,6027353,5675307,5670273,5756145,6368098,5805631,6816398,7486583,8857942,11069613,11006541,12299268,14294264,16841149,21909049,28926960,21649569,18263211,42870995,41425547,6679590,6923615,7399072,7420711,7571174,6975364,7035261,7451337,8415463,7984306,9456915,9037212,9888197,10751866,11904242,13534120,15212569,17065025,21909049,28512855,21107598,17118576,37564920,34419748
..Region X (Northern Mindanao),10013003,11284804,11868453,13648010,15649079,16664599,18061279,18445813,20308745,18845344,21528181,22244489,19274238,13343957,15000078,19102859,22587934,24827050,32418578,35010667,26329172,32686120,49819826,50124628,8604275,9126638,9671008,10143389,10670083,11195503,11350788,11273451,11642031,11331076,13613356,13483275,14651256,15560762,16998894,19224440,22779051,25980688,32418578,34644289,30477805,35584824,46224919,43747193
..Region XI (Davao Region),25585314,28632194,30733292,33864447,37453944,37741101,41135194,39886280,43406178,41440450,49904748,51953025,62327244,63933701,62443311,72118908,86332918,117911623,158248533,154241104,112518414,129122464,175146864,184218020,39585213,41502774,44721475,46601754,48665799,49661528,50049488,51080127,55504853,53968422,65593062,63652685,69099183,74581652,82714759,93720536,106524033,123100783,158248533,153035952,124509120,134617836,155908562,162843309
..Region XII (SOCCSKSARGEN),3081361,3596541,3884397,4270228,4796869,4859242,5266365,5295355,5706305,5175470,6473879,7599912,9506916,9717101,11980759,16239570,21009959,31352611,34639464,37196450,30879871,35605835,48308774,46083234,11621844,11993583,12876914,13379471,13972347,14766069,14672926,14623804,14474029,14289462,17511851,17479991,18769132,20312031,22490954,25020931,28762326,33234466,34639464,37130892,32731446,35139305,39442486,37663567
..Region XIII (Caraga),2009839,2317523,2518863,2741352,3114933,2917875,2977471,2979746,3706396,3495746,3923536,4117615,4477718,5153221,5746262,6386588,6887467,7691450,9448912,10553493,7167430,5514204,7754066,9938510,2868001,3009578,3310721,3351302,3441573,3081532,3108957,3249261,3979747,3655371,4375826,3976058,4431337,4835177,5304791,6251467,6921208,7807738,9448912,10421145,6944298,5291027,7334522,8968847
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),4080055,4783731,5216752,5599798,6482965,6466207,7021615,6993384,7721801,7119305,8857187,10139285,11630859,13501408,20290584,25082011,31441388,32522843,37270028,23590541,16507940,33009403,40937277,40883817,12731337,13121464,14116311,14487036,15033485,15489369,15313919,15196829,15530218,15195111,18563421,18427757,19998558,21378415,23764241,26714603,30414798,34305844,37270028,23435638,17133190,34378635,35828985,30837415
Philippines,1545916792,1760468773,1907247300,2135734462,2411645743,2521687448,2594297892,2564791783,2763169983,2573096017,3123385677,3214884547,3359646298,3572682559,3977060399,4452862380,5311929313,6393529443,7662209491,7896717085,5918045172,7324124649,9701755599,9908114493,2103300705,2284435048,2446473419,2576348689,2661238757,2760434476,2771278529,2764455144,2896640198,2828650680,3415512601,3383538303,3612085816,3865167912,4247751757,4885294287,5804373191,6683447486,7662209491,7840964591,6150890041,6939208909,7911851805,7987069594
