Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022
..National Capital Region (NCR),263704,261653,263377,267445,257196,269876,276387,298815,332438,358641,358683,399074,317148,310957,342559,385733,380632,386187,397870,442597,450942,503378,560698,509113,499257,489206,535405,447476,454656,467289,477753,483666,494361,451895,472827,418530,404853,396151,393544,410606,414913,397870,410906,397530,419571,434213
..Cordillera Administrative Region (CAR),10345321,9989278,10802653,11086272,13279433,13937343,15386530,19048014,22111822,24068606,21566919,25476973,26043841,28330836,29798042,26565642,26434968,27081424,28676989,27032460,26900335,29639183,29667020,18745580,20697484,19790193,19767831,20677079,20980383,22277565,26706859,27515878,27189945,28201996,29156770,29158846,30240732,30288760,29038798,27852227,29705577,28676989,29875118,29231325,28726344,28121866
..Region I (Ilocos Region),34947897,35946000,39035867,42547209,50505673,57660665,63224597,67434991,78449835,74812499,82915357,90184035,90974917,95265087,103111043,97252293,94546569,101233334,109726744,104414631,111752734,115897688,124136050,63417221,66020438,68015277,71728247,75512824,83073780,89740821,93737562,93293580,83313551,92095791,96633772,99266871,103912863,108939138,107798433,106270087,108559780,109726744,111847324,112835219,107277252,109083262
..Region II (Cagayan Valley),35888202,36699095,36812659,35051138,48337224,46434947,52457596,59394858,71971784,75024672,67322367,81665949,90772763,98201889,112838605,98167176,95863577,106091709,107772358,103514231,107984406,115025051,120576992,68423914,69037352,67423725,68319924,78672410,73218532,80013239,84839094,86141299,87060789,80537960,92723348,100162563,103484786,108735961,108742068,105680481,112075827,107772358,115499391,115309087,116817411,117356560
..Region III (Central Luzon),71958531,81357920,87398534,90001504,102328281,116960569,125635426,139583858,170329974,177625590,186928048,192192700,204897786,225116693,256243849,231770789,228110146,254379766,266500392,231944950,245519116,260135779,284416990,132530764,146797987,151999066,158685055,160039182,169295348,178509204,190684357,197616070,194328813,191948453,189721097,217527630,234855273,247472457,250465990,252211653,261996271,266500392,267583728,254234410,239036190,244145053
..Region IV-A (CALABARZON),52945867,54654419,57186380,67692001,75685742,76199091,83183458,90865266,103076289,105091472,115745017,124861169,115686406,121936524,130372703,129188465,136432768,147970446,153314633,154281235,162496091,161157817,171083263,106547042,110985505,114839479,117686569,116958013,113267561,116948896,118731337,121831355,119485223,126308174,129082844,131424737,139273982,139442632,144897919,152594326,152154148,153314633,155144297,144737751,131118281,133347315
..MIMAROPA Region,20650071,21319535,22309189,24290382,25444726,27866174,33020104,34515622,43203198,45775419,42355705,47871709,53778192,53198316,60498821,59054074,57534218,62311521,67109673,64090817,62743979,70893525,74642379,49181571,51270471,53581819,57866717,58772087,60964266,66743832,67373948,66552868,65732966,62095976,64682419,63957992,63432040,66279503,69014140,65479046,66520373,67109673,70293568,68872647,72446944,70678459
..Region V (Bicol Region),27018967,27995639,32686673,32270477,39651852,43368781,43846888,49522074,58442227,61615175,62651919,68202427,73748987,80568012,88452610,80801924,82686790,89567870,89547860,85787072,89080266,95580484,100667469,48464204,51630582,54470690,58596826,61021109,67003345,67890996,69722212,71575781,74813366,75962851,77112681,84029686,89688653,90344784,88995900,88780545,91311479,89547860,93731957,92558316,89727203,91940956
..Region VI (Western Visayas),51910181,52291748,57086068,58828955,68441947,74298237,82150771,86101199,100759288,110676310,105561483,123573581,130558125,133729364,139380194,137082302,134002423,148463338,153436676,144203590,153444345,162385190,177597771,94982923,99163341,99676330,105409601,114698139,117478970,121066316,122626449,128310103,131854634,128233706,147441592,146146004,144198514,142190597,143431162,141175820,154049665,153436676,154272027,164095481,170689641,167301741
..Region VII (Central Visayas),25371567,26427573,29790010,28809537,34943192,36466694,38336881,41750652,48445734,53351637,54808347,59985530,65649179,63584803,65676144,67583606,67759679,75789067,79665185,79460898,84965583,95104835,100123188,54045272,57151154,58582337,60811690,63047229,64990098,61940740,65112693,65948597,66856071,69499091,72603632,71685584,72960635,71431707,73531829,73510585,78798276,79665185,80319897,83688959,88146321,84006908
