Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..National Capital Region (NCR),370394121,397188460,410221961,435128514,477724431,532632193,581044501,638647194,724238586,699237613,758145797,750186573,833666738,874752367,921893225,982678326,1024591208,1047267072,1136680646,1228633443,1096049972,1134469654,1237297780,1295907855,696027510,704198004,685362544,716410204,759687962,797488025,833186879,875624442,941951051,863308625,894043867,858808482,923085950,962596040,980507136,1046971443,1095210419,1102280511,1136680646,1228679599,1061267474,1089765723,1124146039,1138357202
..Cordillera Administrative Region (CAR),57795379,58653837,63229441,65444386,69900894,71177070,77535922,76469402,76952374,74658019,84544232,82885765,70612700,71324732,73768884,69031547,63023641,71226185,79585851,78533465,70478517,79922987,88873951,96081916,82761678,80737091,82756330,84207922,84977050,83488531,83919125,87045586,86825622,85924930,88496656,81472279,70827418,72371947,74756774,73667182,66338586,73921141,79585851,78169085,67450967,78439958,83898456,87404199
..Region I (Ilocos Region),33488298,35601531,38814697,39441029,44483803,50546855,55807934,59487272,67090284,76419047,85645759,85601547,91225876,103182650,112749380,116622557,136857156,147124880,172137616,193863821,179865209,200147631,229881819,255800554,58779036,59003718,63041683,64867586,69435651,72934194,76954632,80655944,84739423,91779754,98326909,96058323,98751374,110578568,118161962,125342949,145917749,156004842,172137616,187636364,169817032,186623498,200125651,214057415
..Region II (Cagayan Valley),22044267,24557789,26151655,26684862,28918401,30401494,37349202,39484327,41099679,41565359,51104419,49454907,53210394,67141576,75133465,79672406,90684746,102657735,111354634,117810110,94642512,105894355,128691563,148525234,38805064,41118047,42684015,42569043,44685201,44868959,52330061,54114398,54026735,53666324,64313123,61105964,64418631,74907514,81699105,85935436,95957416,104979666,111354634,115420532,96118242,105274785,117416275,127416238
..Region III (Central Luzon),149973055,160237316,181420601,198195306,211126150,230436403,248463314,258059911,293750839,281823162,356006602,423050200,472765691,493165076,568626755,586443345,649222118,771732585,880191747,960971397,712818815,827398190,973388820,1069175918,274713944,283506922,304137151,312740978,307362921,312387234,319142152,325341945,344353579,335665319,407821945,467686076,514804721,534101769,594798739,632242382,701189880,819022643,880191747,936035540,749672601,853508939,929361520,980500788
..Region IV-A (CALABARZON),327166536,373997265,399768902,442380561,484694282,550700889,606613444,657928973,692970597,665211612,801359187,836110754,916972689,961824069,1056989920,1052048807,1089212498,1208082770,1382758284,1452891208,1222500073,1343319620,1513851022,1605493594,549909108,554388706,583358657,619578505,647657494,688251214,706665216,735036072,755325545,727932555,830123318,831558711,903828339,967026399,1041727152,1102357173,1164773780,1276334044,1382758284,1432359137,1251921162,1393396973,1493261903,1533976719
..MIMAROPA Region,20612995,23266643,31198557,37080026,40404613,52111365,49417646,59388110,70312896,73024979,75055506,82724002,85125321,87121343,105124453,93700792,94528035,110890985,134007316,124282053,103295916,124419610,158605195,137338097,29564667,31155379,43501968,49664241,51416412,61543942,55686746,66194076,71981564,79989952,78727996,79848346,83988454,86455533,103444578,103541855,110951649,119135157,134007316,136989190,125821760,128566111,133860065,131453304
..Region V (Bicol Region),24604479,27086417,28561699,30453239,35417510,40047180,42998665,51200370,58217503,66774581,77989352,84036987,95641651,104603975,117457365,135024446,150657620,158992829,189863118,203554535,166510093,187269801,222926775,240240815,46004535,45664805,47594235,49623295,54152177,57692960,58363945,67392571,72406246,80326705,88213667,90864032,101629589,114160132,123980934,147627828,161205677,167686202,189863118,204768924,177064068,192642314,209735413,218953079
..Region VI (Western Visayas),37704264,40424942,44880067,48213773,51845400,56570900,60084195,66274373,78866668,87475016,92658810,96209252,107909017,112938222,126613149,142702171,154725090,165404587,181542556,198637883,188867373,215910359,295786805,290970849,61430165,63965996,66887014,71508972,76344232,79543501,80403870,84768828,90601728,101317456,105136649,103671583,119432381,125566700,137372275,155444332,162608485,169659855,181542556,192649883,174785323,187776110,205060953,220931334
..Region VII (Central Visayas),73223700,77741260,81274402,85482328,96150619,107996269,116574228,126286882,140167919,137192488,170695729,185544289,207904510,228411607,261570745,259914853,292513517,299481022,324475369,348149297,299778306,310001537,351502635,378409194,114829317,117045613,118110486,123947547,129499145,137854401,142539953,149512387,156256095,153888032,184919031,199517578,219917011,239413480,263006395,262820648,294229163,298496459,324475369,340461665,282306497,293113664,310611018,323401103
..Region VIII (Eastern Visayas),44830655,48536734,49156951,52593651,64900632,72353986,82301861,76751048,95498345,105810290,109118107,111990708,94384743,114265996,115937143,124707800,157377259,159630116,181832721,172209732,143738558,162420575,188839246,208017143,79713163,81974776,83083619,88736141,95983481,99538943,106898817,105561399,112169501,119576395,121299420,122847771,105391265,123076742,126719634,136055150,169658479,168856043,181832721,187588174,172658839,186465677,199838016,211472103
