Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022
..National Capital Region (NCR),866792876,951790590,1024962119,1110315946,1265594910,1421876928,1595543158,1760637911,1930780591,2054439599,2294655868,2486553009,2719104686,3015638927,3292965366,3549379646,3903250699,4279470806,4677361615,5065118644,4704318265,5022531585,5651116781,1719855247,1778807719,1821319893,1907106866,2081702397,2190603537,2323448437,2496027105,2582467981,2658755119,2850628771,2973759452,3148685320,3376857811,3596011625,3817708621,4120470428,4404985614,4677361615,4995043952,4538266193,4755433857,5140872183
..Cordillera Administrative Region (CAR),22305310,26658252,30806107,36544406,42884388,47891353,52935221,58439505,66468769,73290538,83655666,92123941,105179961,120333670,133529081,148076769,166126179,182498201,200004282,216540164,198123690,214321711,247427736,42151026,47960066,53748190,60459097,67582538,71846385,76726409,82413056,88975740,94652839,103645059,110791426,121964356,134258682,143936808,156820083,172501102,188148487,200004282,213678073,192194289,203599557,225644465
..Region I (Ilocos Region),60508793,65501131,69393053,75960283,83148468,90391822,99321291,108870479,120242174,127715166,144067260,158598687,174450375,195545710,214818265,235498513,259496835,279443277,305732891,332022206,306299357,328079992,375552735,117928501,120265784,121670920,127520430,132908324,134749317,141122638,151661743,157726334,160263091,173943656,185929287,200598355,218200746,234116785,252920697,273201830,290116140,305732891,330878979,299225726,314718084,345672124
..Region II (Cagayan Valley),28005511,31847437,33684669,37380555,40419096,44706137,49447038,55358105,61534824,67657356,74453517,81964345,90741464,102961018,116089020,125273927,136910092,149937158,165934279,178046440,164704330,179084032,206528440,50989433,53824141,56387946,59894512,62701940,64452733,68199377,74690878,78704148,82909727,87897880,93757988,100295431,110120123,122379783,131050770,139902604,151195266,165934279,180593644,159675650,167862366,186403497
..Region III (Central Luzon),146855219,164904991,183518668,206227664,235264546,262796000,294749498,324160139,368066635,394994137,436353050,481015767,528917118,588335851,637046086,693018304,763376071,834211319,915701736,991898795,905773251,974801898,1109307896,300000936,318984619,335547176,354743028,384894652,403910983,429650174,465876404,490654214,509479962,544007388,576024437,604630998,648068648,684349861,736426540,794163867,848174944,915701736,980160363,877370304,928641046,1011257357
..Region IV-A (CALABARZON),221579023,242576580,256105877,278363565,321149563,360714887,403901954,445955134,490079008,513492124,569299716,621487932,689208376,764118069,819544883,895563889,980608823,1067016264,1170921829,1258620105,1180124298,1281513354,1455195279,394048926,402760903,422302591,442085103,479781382,508641300,546060098,592420815,620837776,639055048,682050851,716077774,774455623,836176152,873767133,949058485,1029450010,1099170709,1170921829,1244096485,1137785352,1204420583,1315767982
..MIMAROPA Region,24919317,27322083,29982708,34053081,37672394,41828551,48759263,54609385,61473715,65864945,74301808,81563201,92414488,102633561,110516682,121850818,135238021,148746199,169627819,187216683,176603583,187396816,219783095,46202618,47150781,51507025,55614153,59017875,62324011,69567631,76581939,82072605,84964119,91723451,97030582,106648636,115476055,122309134,133396539,144739423,155850186,169627819,179500874,163086223,168711953,188417987
..Region V (Bicol Region),45231005,49932879,52294995,57342977,60806091,64606750,71255991,77378401,86908270,95130542,105469646,114653180,128857236,147123876,160753581,179430581,198418009,217405351,242603857,271493822,261257156,281786890,322261146,81889711,84700472,87154377,91476353,95503660,97511462,103476893,109506741,115244339,122323510,129699234,136100843,148999615,164722001,176162534,195272891,212834883,229372451,242603857,266440892,248147915,257820229,282042113
..Region VI (Western Visayas),91240718,97810622,104306401,113801758,124075934,139703861,157690510,176942362,195886043,209027186,234958595,257644596,288812821,320125376,349922980,388211788,431839283,477413844,525128536,576321582,508485468,558714577,660593743,167328963,168345556,173993076,183647812,197060086,210662565,228569341,251473790,261980858,274672865,298087019,313592290,339798063,361895463,385529020,416620415,454258483,497063575,525128536,566987455,486488795,515620944,582654842
..Region VII (Central Visayas),102772760,117180148,125797283,137406678,155394115,177194991,199688637,226384602,253504491,274898097,313978039,346698022,400990875,454143040,502300370,561524562,617206909,692002590,776805208,843002116,785371931,832658571,954744606,213475994,224764681,229996550,239564734,260647933,282294799,303302582,334517709,355191963,374114992,411935647,441484519,488157434,529051635,569317098,622204712,661901509,725466767,776805208,833331832,768916889,814718572,892731020
