Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
National Capital Region (NCR),432181.46,461671.33,420207.44,440885.46,488156.85,530945.44,432181.46,456532.5,405655.25,418554.05,443975.97,460968.83
..City of Caloocan,131060.37,139991.95,126051.4,136447.51,148709.63,160142.23,131060.37,138649.12,122311.86,130814.85,135873.27,139524.84
..City of Las Piñas,169806.28,178581.53,163438.15,170952.82,187006.04,203772.1,169806.28,176074.82,157798.99,162090.3,169857.56,176506.23
..City of Makati,1610145.19,1706731.59,1609315.53,1698152.33,1872280.73,2065052.75,1610145.19,1685662.33,1551179.35,1604934.42,1695250.61,1778002.12
..City of Malabon,167076.01,176694.74,161204.78,173367.42,191254.42,206413.33,167076.01,175030.1,156045.29,165383.78,174008.46,179435.94
..City of Mandaluyong,629775.16,659587.07,592676.24,615884.68,669231.98,723962.82,629775.16,650385.86,568999.66,581360.7,608447.05,629421.47
..City of Manila,478465.77,510973.79,479547.19,498146.65,551806.68,586334.78,478465.77,506946.98,465305.71,476255.57,503322.48,510826.43
..City of Marikina,229342.83,249810.42,222330.06,232755.38,252103.36,274484.65,229342.83,248040.67,216655.27,224138.39,230642.25,241747.29
..City of Muntinlupa,474081.73,498652.71,433790.23,462572.48,498221.83,533899.27,474081.73,491812.04,416382.09,438813.77,454219.66,467662.08
..City of Navotas,148981.79,159919.86,145226.4,154529.34,172098.36,186598.62,148981.79,157967.45,139289.81,146017.77,154952.85,159836.16
..City of Parañaque,473258.06,490878.59,373685.79,394572.3,447619.77,500640.77,473258.06,487260.63,363727.7,378469.45,410419.2,438429.17
..Pasay City,665342.66,730223.6,618524.09,649786.36,790973.8,884858.34,665342.66,728252.72,599981.5,618150.84,720090.42,766193.53
..City of Pasig,511621.8,544411.21,504119.28,523058.57,581427.68,628050.92,511621.8,538955.08,487457.3,497762.85,530741.74,546988.76
..Quezon City,377371.58,407036.68,373193.16,389336.35,429350.68,467027.19,377371.58,401097.09,358957.24,367642.57,389551.1,405111.76
..City of San Juan,617513.82,670079.14,632879.34,681082.52,753315.96,828669.81,617513.82,659374.9,608181.76,642518.6,680884.21,713041.85
..City of Taguig,525927.26,555991.1,511642.21,528305.7,566737.43,606373.17,525927.26,547088.07,491298.18,497812.11,513366.35,524834.72
..City of Valenzuela,252399.11,272293.16,239619.92,247423.13,268558.66,284963.13,252399.11,272227.64,232342.48,238313.85,246753.34,250642.71
..Pateros,133666.54,143013.68,127606.14,135378.26,149450.7,162675.53,133666.54,140509,122589.05,127612.38,134319.4,139380.67
Cordillera Administrative Region (CAR),173651.07,179758.64,163465.36,177692.71,199284.89,221907.49,173651.07,179544.44,159800.03,170495.76,183875.53,195161.86
..Abra,81660.28,84744.43,85404.4,95697.66,109172.96,118336.92,81660.28,83638.28,82667.23,90596.49,98478.44,102447.99
..Apayao,81505.11,83360.32,86660.99,93468.46,100357,110330.89,81505.11,83816.46,85994.19,89839.01,91665.16,95349.12
..Benguet,148629.64,152085.7,148723.19,163709.91,176140.08,196599.91,148629.64,155892.42,145801.43,152431.53,157944.01,163838.27
..Ifugao,114697.1,117294.58,114854.93,121919.54,134529.03,145840.57,114697.1,116292.61,111989.26,113877.09,120765.23,125022.63
..Kalinga,111442.73,114238.51,109590.62,117621.92,135208.28,148826.38,111442.73,114792.28,106946.18,112001.75,121779.59,128394.15
..Mountain Province,86408.63,89878.33,87077.04,95146.21,107529.71,122045.77,86408.63,89858.89,84518.59,87766.76,94338.7,100407.24
..City of Baguio,411525.3,429268.99,356155.13,384739.46,440459.17,494688.14,411525.3,424015.56,348286.04,380000.35,420248.87,455398.9
Region I (Ilocos Region),113470.59,120613.24,113439.42,121230.62,136269.52,151057.98,113470.59,120625.1,110396.37,114547.96,122327.35,130128.92
..Ilocos Norte,139181.03,149239.17,140159.06,148684.69,169862.27,190563.72,139181.03,150346.41,135341.94,138818.4,150138.52,162230.59
..Ilocos Sur,111365.05,121221.7,112622.32,124865.78,141724.09,158954.04,111365.05,121961.03,109256,116951.82,124566.46,134379.92
..La Union,128218.67,138218.98,128603.32,137653.86,154139.2,170678.73,128218.67,138045.63,125954.09,131835.27,140855.24,149979.69
..Pangasinan,104933.12,110130.14,104329.02,110636.9,123692.29,136326.86,104933.12,109807.04,101605.08,104632.06,111442.74,117614.08
