Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
National Capital Region (NCR),5814440130.22,6294194684.58,5800819179.08,6157504617.89,6892127002.93,7572347072.64,5814440130.22,6224134456.59,5599931196.55,5845619151.5,6268351530.6,6574340155.02
..City of Caloocan,213989628.52,230518963.58,209140771.14,227899601.1,249818322.95,270350850.08,213989628.52,228307767.6,202936248.29,218491725.6,228254436.1,235544736.55
..City of Las Piñas,103520739.31,109955676.46,101542790.72,107074070.12,117976783.69,129374337.83,103520739.31,108412251.73,98039227.28,101523144.92,107158298.04,112063311.47
..City of Makati,991892136.82,1069569362.33,1025048825.5,1098318896.1,1228545854.73,1373565215.29,991892136.82,1056365739.76,988019156.9,1038028080.56,1112382923.53,1182634131.95
..City of Malabon,62125621.9,65961102.46,60360050.12,65050602.43,71850186.56,77573999.08,62125621.9,65339685.65,58428177.06,62054996.58,65371247.01,67435389.25
..City of Mandaluyong,265031879.02,285304663.76,263273521.23,280685330.25,312643057.77,346393937.56,265031879.02,281324674.74,252756119.23,264951256,284246349.78,301158810.39
..City of Manila,884168501.16,954582014.2,904867081.38,948519455.16,1059332126.21,1133904835.88,884168501.16,947059280.97,877994543.68,906836722.02,966254470.25,987880276.51
..City of Marikina,107095661.41,117842922.54,105853116.21,111741449.89,121933206.57,133634610.74,107095661.41,117008079.79,103151306.27,107604596.98,111553246.82,117696217.6
..City of Muntinlupa,251242965.78,268240982.82,236650122.79,255681484.46,278776327.82,302159491.69,251242965.78,264561172.59,227153278.39,242549136.42,254155239.53,264672648.96
..City of Navotas,37192936.96,39933718.64,36273820.39,38607239.22,43007537.61,46642985.08,37192936.96,39446181.68,34791011.21,36480728.54,38722860.02,39953326.37
..City of Parañaque,336758601.57,356656068.15,276985938.56,298084101.35,344352837.21,391861766.93,336758601.57,354027375.21,269604737.98,285919023.29,315734521.23,343167479.59
..Pasay City,284602754.41,314620930.11,268182794.41,283262437.19,346374150.26,388912522.34,284602754.41,313771766.65,260143005.05,269471513.13,315333717.02,336757022.29
..City of Pasig,411835644.37,447038903.83,421904759.73,445739099.72,504076386.29,553472057.13,411835644.37,442558647.6,407960107.41,424182642.44,460133543.82,482035750.33
..Quezon City,1143313010.62,1244116898.57,1149738313.56,1207889837.81,1340208336.67,1465513675.11,1143313010.62,1225962413.45,1105880090.34,1140586350.24,1215974841.77,1271225393.28
..City of San Juan,75706236.04,82246980.96,77772322.38,83793972.12,92789557.56,102190928.06,75706236.04,80933118.71,74737323.92,79049430.74,83867790.44,87931777.42
..City of Taguig,474761772.79,521041690.27,497352806.73,532158780.24,591037303.38,654151445.65,474761772.79,512698303.6,477576952.21,501442783.93,535377842.21,566188293.73
..City of Valenzuela,162527012.38,177247990.75,157537082.02,164139260.94,179615717.32,191980250.75,162527012.38,177205334.62,152752558.45,158096210.39,165032021.86,168858516.29
..Pateros,8675027.17,9315815.14,8335062.23,8858999.79,9789310.34,10664163.45,8675027.17,9152662.23,8007352.87,8350809.71,8798181.15,9137073.03
Cordillera Administrative Region (CAR),308267122.3,322106087.87,295502541.76,323883881.43,366057851,410562373.55,308267122.3,321722275.98,288876581.64,310765858.46,337753055.47,361078914.4
..Abra,20011832.16,20869587.94,21129218.18,23777806.98,27235051.3,29631446.02,20011832.16,20597180.52,20452037.7,22510328.16,24567120.96,25652875.06
..Apayao,9951855.17,10255153.32,10737123.5,11658134.67,12595907.43,13929274.52,9951855.17,10311268.01,10654508.49,11205440.28,11504986.11,12037826.21
..Benguet,69843052.33,72624760.22,72114196.68,80538413.02,87851090.36,99339168.27,69843052.33,74442567.37,70697466.45,74989920.36,78775673.37,82785172.55
..Ifugao,23817885.7,24538495.11,24196373.12,25854624.33,28705804.75,31300594.51,23817885.7,24328879.03,23592665.64,24149116.74,25768884.49,26832607.71
..Kalinga,24221520.8,24998012.38,24135032.47,26060666.41,30127919.11,33339043.86,24221520.8,25119191.3,23552650,24815444.49,27135659.05,28761958.16
..Mountain Province,13486832.48,14070003.49,13670050.34,14977249.8,16970338.29,19308494.9,13486832.48,14066960.23,13268404.63,13815629.34,14888533.53,15885128.19
..City of Baguio,146934143.66,154750075.41,129520547.47,141016986.23,162571739.76,183714351.48,146934143.66,152856229.52,126658848.74,139279979.09,155112197.96,169123346.52
Region I (Ilocos Region),587597250.75,630300658.38,597917299.52,644125310.16,729469681.41,814288142.6,587597250.75,630362667.35,581877977.24,608618834.21,654835321.82,701468659.96
..Ilocos Norte,84319624.07,90997088.85,85976653.21,91717339.83,105323439.41,118721957.05,84319624.07,91672218.28,83021722.78,85631243.65,93093687.24,101070309.26
..Ilocos Sur,78626396.18,86196267.45,80616298.51,89935199.79,102664224.07,115757329.11,78626396.18,86721976.29,78206649.23,84235135.99,90235317.35,97861367.47
..La Union,104186641.89,113421113.4,106508365.55,114987502.6,129792451.18,144789157.03,104186641.89,113278861.39,104314295.16,110127011.45,118606729.53,127229874.85
..Pangasinan,320464588.61,339686188.69,324815982.25,347485267.94,391689566.76,435019699.4,320464588.61,338689611.39,316335310.07,328625443.13,352899587.7,375307108.38
Region II (Cagayan Valley),385061270.61,399370781.19,367331248.18,400003437.85,455676928.16,510834729.42,385061270.61,411513566.84,371102978.82,389954561.49,421045562.3,447073155.91
..Batanes,4190146.56,4628388.57,3879398.71,4290851.57,5072653.4,6144335.43,4190146.56,4765773.47,3842755.43,4098531.94,4572303.46,5236855.7
..Cagayan,139710568.06,144235370.36,128764994.2,142493847.23,161868164.32,183609388.5,139710568.06,148344730.26,130080216.83,137352457.9,148746018.02,159399540.55
..Isabela,168553854.03,176651708.01,168949481.99,177798078.94,199458477.1,219006867.43,168553854.03,183248757.44,172691092.45,177410575.96,188821248.22,197549493.59
..Nueva Vizcaya,53059776.91,54219918.52,47026282.54,55043434.71,66519033.03,77037489.83,53059776.91,55124046.68,45584701.01,51086101.37,57777800.24,62796252.54
..Quirino,19546925.04,19635395.73,18711090.73,20377225.41,22758600.31,25036648.22,19546925.04,20030258.99,18904213.1,20006894.32,21128192.36,22091013.53
Region III (Central Luzon),2062393875.35,2184815142.74,1864111181.94,2062335866.73,2367250960.2,2650681587.72,2062393875.35,2183779631.36,1881277314.97,2021186174.82,2184784695.04,2318428273.97
..Aurora,32375471.87,32816299.25,29441196.43,32119217.41,36139714.7,40083610.99,32375471.87,33938165.72,29533792,31227844.79,32911565.78,34433422.89
..Bataan,255493392.06,273942043.24,214665572.49,244903268.36,285149068.85,314695119.27,255493392.06,270142569.29,221612765.1,242045523.12,258774889.51,275105737.55
..Bulacan,573030038.85,618129555.11,515094661.4,551924610.3,629727987.35,700955829.41,573030038.85,608961228.14,516567140.93,550922582.31,598051868.32,631640088.48
..Nueva Ecija,295632251.25,295920039.21,265600075.49,290895960.03,331045864.71,372555460.26,295632251.25,307744602.07,270338044.63,281300575.49,298005682.7,314521258.95
..Pampanga,477288309.42,509236456.76,434095352.77,500916183.45,567927563.13,643022753.62,477288309.42,506309462.04,440250932.37,492778630.25,531943320.68,566569953.61
..Tarlac,183934765.48,188722261.87,173676639.33,185284497.06,215147956.01,241715197.26,183934765.48,194891866.02,174542093.09,176227178.25,192855211.77,205699445.4
..Zambales,75392037.09,81861803.27,75698801.2,84839123.41,102519001.12,113763767.8,75392037.09,82380430.57,74750816.48,79370992.36,88265241.79,92691623.32
..City of Angeles,119220535.78,130388260.09,111407400.17,123082997.6,142811443.38,159785763.17,119220535.78,126479059.41,109851181.48,119875688.47,131889229.18,141758851.67
..City of Olongapo,50027073.54,53798423.94,44431482.67,48370009.13,56782360.95,64104085.92,50027073.54,52932248.12,43830548.87,47437159.77,52087685.3,56007892.12
Region IV-A (CALABARZON),2706994745.3,2865792547.23,2565120461.21,2785990791.6,3140377483.4,3436079160.86,2706994745.3,2831599919.04,2534444265.14,2728935836.6,2942514949.76,3095255701.13
..Batangas,554347586.15,606137866.87,517530258.69,585927387.39,670848861.5,733062985.05,554347586.15,594271828.48,508437971.72,571976232.18,615718721.49,645775010.85
..Cavite,683585187.07,715404260.67,607597485.92,688255788.98,780059464.49,867011001.56,683585187.07,704917568.59,596646875.98,669611125.07,731325258.1,780046148.69
