Sector,Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
"Agriculture, Forestry, and Fishing",National Capital Region (NCR),560698.27,622442.86,672923.41,434213.01,457739.62,461373.67
"Agriculture, Forestry, and Fishing",..City of Caloocan,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Las Piñas,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Makati,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Malabon,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Mandaluyong,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Manila,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Marikina,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Muntinlupa,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Navotas,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Parañaque,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..Pasay City,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Pasig,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..Quezon City,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of San Juan,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Taguig,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..City of Valenzuela,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",..Pateros,/s,/s,/s,/s,/s,/s
"Agriculture, Forestry, and Fishing",Cordillera Administrative Region (CAR),29672962.63,33798889.65,35739903.84,28121885.02,27785683.62,28094111.51
"Agriculture, Forestry, and Fishing",..Abra,3191410.92,3225962.58,3342965.65,2994190.65,2939572.55,2673151.66
"Agriculture, Forestry, and Fishing",..Apayao,2496162.28,2529148.48,2618390.35,2521131.15,2450622.53,2224957.18
"Agriculture, Forestry, and Fishing",..Benguet,12505132.45,15806992.22,16942436.43,12527457.81,12471638.86,13484890.46
"Agriculture, Forestry, and Fishing",..Ifugao,3973418.19,3913715.89,4073068.33,3206006.62,3082026.97,3124336.08
"Agriculture, Forestry, and Fishing",..Kalinga,4133769.36,4324723.10,4748964.60,3815983.69,3811460.17,3553711.07
"Agriculture, Forestry, and Fishing",..Mountain Province,2455715.39,2861411.80,2848351.34,2149469.48,2145316.78,2116381.35
"Agriculture, Forestry, and Fishing",..City of Baguio,917354.04,1136935.57,1165727.15,907645.62,885045.75,916683.72
"Agriculture, Forestry, and Fishing",Region I (Ilocos Region),124172679.28,133144433.24,145655559.12,109155151.15,112779825.65,112101747.16
"Agriculture, Forestry, and Fishing",..Ilocos Norte,19372172.25,21048615.48,23810202.80,16786578.95,17431898.25,17872233.51
"Agriculture, Forestry, and Fishing",..Ilocos Sur,18314873.71,19738137.40,21206808.97,14460426.73,14959781.10,14636586.67
"Agriculture, Forestry, and Fishing",..La Union,13453174.60,13803860.99,14578314.82,10933008.47,11143606.84,10902695.05
"Agriculture, Forestry, and Fishing",..Pangasinan,73032458.73,78553819.37,86060232.53,66975137.00,69244539.46,68690231.93
"Agriculture, Forestry, and Fishing",Region II (Cagayan Valley),120600439.13,132041583.94,144472923.61,117356951.02,120096910.11,119100783.49
"Agriculture, Forestry, and Fishing",..Batanes,282496.88,388753.28,422511.58,215292.19,247381.88,257328.03
"Agriculture, Forestry, and Fishing",..Cagayan,43669858.74,48769797.05,51597763.58,39649347.42,41575935.07,40148752.22
"Agriculture, Forestry, and Fishing",..Isabela,56768227.34,60994099.66,67706464.49,58778816.25,58978119.31,59365565.64
"Agriculture, Forestry, and Fishing",..Nueva Vizcaya,13016707.34,14415329.00,17060468.49,12191809.37,12693562.91,13033521.47
"Agriculture, Forestry, and Fishing",..Quirino,6863148.83,7473604.95,7685715.48,6521685.79,6601910.93,6295616.13
"Agriculture, Forestry, and Fishing",Region III (Central Luzon),284557585.43,316457276.36,328988022.22,244145114.75,249631766.86,248759759.61
"Agriculture, Forestry, and Fishing",..Aurora,6575753.15,6808352.51,6678277.71,6650892.39,6357972.01,5620133.32
"Agriculture, Forestry, and Fishing",..Bataan,10700379.93,10358106.32,12533687.73,10007742.19,9064999.31,9778462.89
"Agriculture, Forestry, and Fishing",..Bulacan,43346994.80,45326344.67,49804690.12,29284267.92,29377342.74,29285946.80
"Agriculture, Forestry, and Fishing",..Nueva Ecija,91318520.86,102680683.13,102378258.45,79734339.00,82027085.78,82046874.81
"Agriculture, Forestry, and Fishing",..Pampanga,71311216.94,85676839.11,85556793.93,62708362.08,67437861.36,65456629.23
"Agriculture, Forestry, and Fishing",..Tarlac,45781858.69,50779402.97,57473876.31,41370044.12,42718090.97,44965070.65
"Agriculture, Forestry, and Fishing",..Zambales,14902381.28,14122766.60,13823970.23,13891114.94,12136644.20,11087942.93
"Agriculture, Forestry, and Fishing",..City of Angeles,496781.63,587678.59,621032.01,387341.52,415110.16,428287.54
"Agriculture, Forestry, and Fishing",..City of Olongapo,123698.14,117102.46,117435.74,111010.58,96660.34,90411.43
"Agriculture, Forestry, and Fishing",Region IV-A (CALABARZON),171195873.04,178277285.20,195962196.58,133346622.48,137316507.00,136368270.32
"Agriculture, Forestry, and Fishing",..Batangas,64522404.68,68350805.63,73202089.97,47814712.73,50621925.08,51829802.63
"Agriculture, Forestry, and Fishing",..Cavite,17925715.31,19608710.05,22771105.44,13193242.29,14205032.25,15152838.11
"Agriculture, Forestry, and Fishing",..Laguna,16195427.01,17715898.06,20371445.19,14339198.31,15379833.71,14980846.89
"Agriculture, Forestry, and Fishing",..Quezon,59769017.97,57886091.88,63818001.63,47098931.38,44698889.31,42481667.04
"Agriculture, Forestry, and Fishing",..Rizal,10275429.93,12419833.60,13334212.56,8916315.99,10627293.72,10281126.99
"Agriculture, Forestry, and Fishing",..City of Lucena,2507878.14,2295945.98,2465341.79,1984221.78,1783532.93,1641988.66
"Agriculture, Forestry, and Fishing",MIMAROPA Region,74676679.22,81567560.49,83790968.71,70678467.78,74924913.86,70959792.92
"Agriculture, Forestry, and Fishing",..Marinduque,2148030.53,1955579.61,2456347.34,1986117.05,1865259.45,2043320.41
"Agriculture, Forestry, and Fishing",..Occidental Mindoro,15644945.65,17065272.98,14047806.39,16056402.78,15431808.89,13253541.68
"Agriculture, Forestry, and Fishing",..Oriental Mindoro,16443449.23,19836021.80,19076459.08,16426872.97,18429697.36,16291667.09
"Agriculture, Forestry, and Fishing",..Palawan,32967422.93,35572999.62,39858473.88,29348049.46,32421563.59,32573222.10
"Agriculture, Forestry, and Fishing",..Romblon,5561450.79,5221801.31,6174042.68,5107994.91,4936079.84,4943664.32
"Agriculture, Forestry, and Fishing",..City of Puerto Princesa,1911380.08,1915885.17,2177839.34,1753030.61,1840504.73,1854377.32
"Agriculture, Forestry, and Fishing",Region V (Bicol Region),100710957.89,93873669.36,106963032.65,91940825.70,87178821.95,83416924.52
"Agriculture, Forestry, and Fishing",..Albay,15336435.67,15745596.96,16304724.93,14079505.89,14027952.48,12494128.37
"Agriculture, Forestry, and Fishing",..Camarines Norte,14171816.31,12073074.89,13538730.96,11733503.22,10740762.83,9812049.91
"Agriculture, Forestry, and Fishing",..Camarines Sur,41675196.40,38250454.48,44567491.04,39532915.63,35991448.18,36238366.13
"Agriculture, Forestry, and Fishing",..Catanduanes,2444720.24,2271991.20,2600800.90,2365467.49,2333029.88,2276954.25
"Agriculture, Forestry, and Fishing",..Masbate,16583121.76,15875884.14,18587602.39,14440939.60,14469950.20,13477007.15
"Agriculture, Forestry, and Fishing",..Sorsogon,10499667.50,9656667.68,11363682.44,9788493.87,9615678.38,9118418.70
"Agriculture, Forestry, and Fishing",Region VI (Western Visayas),110814569.46,109175847.61,114782311.63,107110944.67,100505477.61,93161638.49
"Agriculture, Forestry, and Fishing",..Aklan,8547729.41,8274498.64,10388856.03,8085014.42,7788804.58,8168911.17
"Agriculture, Forestry, and Fishing",..Antique,14316975.58,13401878.03,16006505.66,14294503.41,12245802.22,12421913.70
"Agriculture, Forestry, and Fishing",..Capiz,20821670.23,21881588.27,24278504.68,21936812.02,21989658.19,22321331.98
"Agriculture, Forestry, and Fishing",..Guimaras,5798296.31,6392725.17,6431856.68,5086779.38,5103000.78,5100078.89
"Agriculture, Forestry, and Fishing",..Iloilo,57108893.95,54736385.87,53450101.96,53818896.30,49464852.70,41588916.37
"Agriculture, Forestry, and Fishing",..City of Iloilo,4221003.97,4488771.61,4226486.63,3888939.14,3913359.13,3560486.38
"Agriculture, Forestry, and Fishing",Negros Island Region (NIR),98794120.27,116259489.77,110101605.79,86871117.81,92944001.17,83387074.67
"Agriculture, Forestry, and Fishing",..Negros Occidental,60008999.03,67427823.53,63493888.28,54148104.29,55591430.37,49980625.75
"Agriculture, Forestry, and Fishing",..Negros Oriental,29866208.64,38327971.87,35212615.83,24969708.41,29091491.01,25375661.68
"Agriculture, Forestry, and Fishing",..Siquijor,1921078.90,2231219.74,2476181.15,1578140.44,1689150.82,1607009.69
"Agriculture, Forestry, and Fishing",..City of Bacolod,6997833.70,8272474.62,8918920.52,6175164.68,6571928.97,6423777.55
"Agriculture, Forestry, and Fishing",Region VII (Central Visayas),68389357.52,79750587.55,88099663.72,57464135.72,60043634.82,63312953.49
"Agriculture, Forestry, and Fishing",..Bohol,22144221.91,26575967.65,31736377.79,19961201.93,21345692.68,23634301.10
"Agriculture, Forestry, and Fishing",..Cebu,43583185.43,50222210.13,52983515.19,35420380.29,36587232.35,37334314.72
"Agriculture, Forestry, and Fishing",..City of Cebu,1994914.26,2196070.81,2611765.37,1542732.38,1556647.45,1802203.16
"Agriculture, Forestry, and Fishing",..City of Lapu-Lapu,625558.36,709468.01,719948.20,504670.01,518245.15,506935.94
"Agriculture, Forestry, and Fishing",..City of Mandaue,41477.56,46870.95,48057.17,35151.11,35817.19,35198.57
"Agriculture, Forestry, and Fishing",Region VIII (Eastern Visayas),69714654.29,73933208.53,84251616.44,60034450.44,62432746.99,64939227.20
"Agriculture, Forestry, and Fishing",..Biliran,4399376.64,4310697.46,4998880.00,3842255.80,3647462.08,3792071.19
"Agriculture, Forestry, and Fishing",..Eastern Samar,5357400.04,5660552.91,8170384.28,4623178.83,4546333.26,5842282.91
