Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
National Capital Region (NCR),505368.27,552211.74,586662.94,459629.65,479414.61,495787.54
..City of Caloocan,149376.69,161142.76,171701.75,136482.75,140390.48,145866.9
..City of Las Piñas,194014.28,212389.59,225420.23,176223.14,183961.15,190070.63
..City of Makati,3957601.28,4414001.47,4647299.97,3582807.49,3800048.71,3889201.67
..City of Malabon,189049.59,204190.17,218606.25,172002.44,177490.32,185523.76
..City of Mandaluyong,706354.41,768550.93,812373.8,642197.73,668165.94,687755.73
..City of Manila,569751.81,607728.69,644141.15,519690.87,529441.57,546412.06
..City of Marikina,267753.21,293628.65,298587.86,244959.85,258587.92,256515.51
..City of Muntinlupa,503433.55,540927.23,579173.97,458971.09,473785.99,494565.62
..City of Navotas,177022.9,193651.82,194507.94,159386.78,165870.71,162567.57
..City of Parañaque,490442.38,553342.18,608823.66,449682.92,484558.43,521065.04
..Pasay City,780025.34,872487.63,937782.42,710123.11,755444.83,792367.72
..City of Pasig,613872.37,667103.02,709682.34,560358.07,580960.23,601652.51
..Quezon City,453798.12,496700.17,510134.81,411732.33,430839.29,430179.98
..City of San Juan,740273.31,817869.29,820829.99,669095.62,703725.77,687469.29
..City of Taguig,510329.11,552925.58,597008.62,462386.89,478400.4,501732.37
..City of Valenzuela,243864.83,257097.67,287066.62,224064.5,226119.42,246780.27
..Pateros,152130.76,166727.92,171371.99,136728.12,142850.71,143013.02
Cordillera Administrative Region (CAR),199043.14,220479.85,246283.95,183652.47,194036.45,209103.22
..Abra,106986.63,115402.19,125871.78,96506.28,99999.54,104882.96
..Apayao,99166.32,108307.75,114812.56,90577.6,93745.13,95320.48
..Benguet,185417.31,206477.37,228943.11,166262.86,172295.02,183660.92
..Ifugao,135943.38,146718.27,162260.54,122034.88,125911.09,135354.51
..Kalinga,127642.29,139126.57,153389.42,114965.04,120159.26,127008.17
..Mountain Province,106721.62,120793.98,135952.83,93629.74,99498.59,109524.9
..City of Baguio,430660.46,479329.83,546230.19,410899.77,441270.32,485433.39
Region I (Ilocos Region),137191.75,152435.02,164216.46,123155.23,131491.37,137692.67
..Ilocos Norte,173746.29,195714.75,206872.75,153571.54,166857.67,172105.84
..Ilocos Sur,146265.75,164788.09,176366.72,128558.28,139503.66,145378.63
..La Union,157605.39,175259.45,189685.61,144022.7,154124.67,162743.67
..Pangasinan,122958.88,135655.8,146641.56,110781.96,117209.36,122819.9
Region II (Cagayan Valley),121930.33,135689.86,149344.55,112663.65,118761.71,124607.21
..Batanes,266015.7,319914.56,362793,239776.78,272639.01,302696.57
..Cagayan,126167.74,142236.79,156502.82,115939.72,123489.84,129550.1
..Isabela,115964.7,126429.55,140075,109780.24,114055.66,121204
..Nueva Vizcaya,130930.09,150025.85,162913.23,113724.63,122288.58,123570.41
..Quirino,109881.76,119851.8,128635.24,102009.92,105756.33,109074.47
Region III (Central Luzon),187248.87,207517.02,222661.61,172815.84,181681.77,189999.44
..Aurora,152130.71,167648.24,180920.92,138541.76,144169.51,149790.5
..Bataan,327467.72,357620.02,391737.64,297179.38,312714.1,337217.61
..Bulacan,165634.12,181963.49,198982.91,157302.51,164073.32,174247.72
..Nueva Ecija,141955.97,158478.91,167348.51,127787.99,134030.3,138557.56
..Pampanga,229574.58,257597.62,268442.1,215028.59,227245.72,230184.12
..Tarlac,141773.41,158027.32,171262.93,127083.43,134719.17,140910.15
..Zambales,155367.37,170772.04,173982.12,133765.82,139277.07,142013.65
..City of Angeles,293742.52,321089.82,363475.59,271277.1,284870.8,313315.51
..City of Olongapo,216241.26,242930.96,263908.11,198362.78,212246.74,223501.86
Region IV-A (CALABARZON),189065.62,204215.31,219897.07,177153.36,184067.07,192897.89
..Batangas,227415.34,246439.75,266088.5,208726.42,217329.52,229940.49
..Cavite,171817.79,187020.42,204710.67,161083.47,168301.94,179749.75
