Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
National Capital Region (NCR),6892127002.93,7572877704.21,8214308356.54,6268351530.6,6574558157.65,6941893739.7
..City of Caloocan,249818322.95,270372731.55,294115654.2,228254436.1,235553606.13,249861976.28
..City of Las Piñas,117976783.69,129358641.27,138757194.41,107158298.04,112043928.75,116997788.11
..City of Makati,1165363187.14,1303613539.41,1439594111.29,1055000658.04,1122291186.52,1204758000.54
..City of Malabon,71850186.56,77580421.24,85240914.78,65371247.01,67436025.34,72341095.55
..City of Mandaluyong,312643057.77,346412801.6,378486577.17,284246349.78,301165772.83,320426768.07
..City of Manila,1059332126.21,1133827864.88,1225536510.4,966254470.25,987769079.95,1039598124.91
..City of Marikina,121933206.57,133659760.74,140731323.7,111553246.82,117709221.43,120901660.91
..City of Muntinlupa,278776327.82,302223075.62,319834343.78,254155239.53,264710393.1,273111497.13
..City of Navotas,43007537.61,46653820.83,49186778.53,38722860.02,39960908.93,41109761.66
..City of Parañaque,344352837.21,391753535.4,428152197.16,315734521.23,343056225.49,366436387.28
..Pasay City,346374150.26,388908742.53,424989865.69,315333717.02,336737266.77,359089958.49
..City of Pasig,504076386.29,553552746.04,605394516.12,460133543.82,482072666.25,513239670.51
..Quezon City,1340208336.67,1465712046.99,1573393478.8,1215974841.77,1271363241.23,1326791202.85
..City of San Juan,92789557.56,102168231.53,110247317.31,83867790.44,87909423.59,92335375.23
..City of Taguig,654219970.97,724391117.22,780938021.81,592760107.71,626755238.37,656308588.47
..City of Valenzuela,179615717.32,192024709.43,208172960.25,165032021.86,168887241.28,178958390.3
..Pateros,9789310.34,10663917.92,11536591.14,8798181.15,9136731.67,9627493.41
Cordillera Administrative Region (CAR),366057851,410079729.98,445523963.48,337753055.47,360896543.24,378264592.1
..Abra,27235051.3,29591659.12,31083783.63,24567120.96,25642082.06,25900637.89
..Apayao,12595907.43,13902057.39,14533777.97,11504986.11,12032843.87,12066333.41
..Benguet,87851090.36,99179135.33,108333590.2,78775673.37,82760016.65,86906512.34
..Ifugao,28705804.75,31255539.22,33858582.84,25768884.49,26822966.31,28244154.44
..Kalinga,30127919.11,33286867.01,36106489.97,27135659.05,28748824.15,29896580.82
..Mountain Province,16970338.29,19267727.44,20362335.37,14888533.53,15870920.5,16404092.44
..City of Baguio,162571739.76,183596744.44,201245403.5,155112197.96,169018889.71,178846280.76
Region I (Ilocos Region),729469681.41,812639321.34,877318738.03,654835321.82,700987609.03,735616621.48
..Ilocos Norte,105323439.41,118478074.11,128023199.12,93093687.24,101009123.26,106507697.72
..Ilocos Sur,102664224.07,115493546.29,125218785.59,90235317.35,97772677.95,103217522.34
..La Union,129792451.18,144601838.5,156504285.19,118606729.53,127164105.37,134275242.27
..Pangasinan,391689566.76,434065862.44,467572468.12,352899587.7,375041702.46,391616159.14
Region II (Cagayan Valley),455676928.16,510585340.43,564165183.85,421045562.3,446886667.27,470717202.88
..Batanes,5072653.4,6138840.56,6870211.08,4572303.46,5231670.02,5732164.86
..Cagayan,161868164.32,183516755.91,201055418.17,148746018.02,159329058.34,166429909.49
..Isabela,199458477.1,218908592.36,242756692.54,188821248.22,197483607.39,210052343.26
..Nueva Vizcaya,66519033.03,77001968.48,86361279.04,57777800.24,62765591.33,65505414.54
..Quirino,22758600.31,25019183.11,27121583.02,21128192.36,22076740.2,22997370.72
Region III (Central Luzon),2367250960.2,2646449862.97,2892168121.09,2184784695.04,2316974675.97,2467916742.81
..Aurora,36139714.7,39989973.84,43570100.39,32911565.78,34389474.36,36073146.71
..Bataan,285149068.85,314503564.72,349210604.55,258774889.51,275011727.75,300609267.11
..Bulacan,629727987.35,700172383.84,771418136.47,598051868.32,631333284.54,675524594.08
..Nueva Ecija,331045864.71,371405793.63,400936237.13,298005682.7,314108846.36,331958426.39
..Pampanga,567927563.13,641968039.39,694311005.77,531943320.68,566327002.38,595358788.1
..Tarlac,215147956.01,240988970.94,268568016.36,192855211.77,205444449.25,220969948.11
..Zambales,102519001.12,113566480.41,118520970.02,88265241.79,92621758.02,96743249.88
..City of Angeles,142811443.38,159770440.5,175723001.08,131889229.18,141748293.52,151473009.64
..City of Olongapo,56782360.95,64084215.69,69910049.34,52087685.3,55989839.79,59206312.78
Region IV-A (CALABARZON),3140377483.4,3432901355.41,3723568507.58,2942514949.76,3094205366.6,3266385078.04
..Batangas,670848861.5,731893269.23,796880503.45,615718721.49,645439757.51,688624634.48
..Cavite,780059464.49,866648695.06,936322846.93,731325258.1,779907648.62,822154506.6
..Laguna,1022945496.96,1096647881.47,1181865698.79,990443675.83,1029300624.79,1080885989.09
..Quezon,244624398.43,267058318.7,292649427.22,217815711.14,229008069.96,239962578.57
..Rizal,370945897.23,412613103.49,452353868.24,340583851.85,359797788.4,381026164.82
..City of Lucena,50953364.79,58040087.46,63496162.95,46627731.35,50751477.32,53731204.48
MIMAROPA Region,453089928.73,471001418.7,509501134.51,392967267.47,411149257.75,429376243.93
..Marinduque,24517322.63,27206588.67,30440906.97,21642876,22874232.8,24814400.77
..Occidental Mindoro,56090571.2,62673831.41,65033284.66,52546851.75,54537459.96,55671891.91
..Oriental Mindoro,115129090.35,128975584.71,140834307.66,109413869.36,114894475.75,120966750.79
..Palawan,163761949.85,144789433.91,151435303.51,127243426.78,129016607.08,130393073.96
..Romblon,32648141.79,36357150.48,40693442.33,29020433.82,31107202.04,33055593.38
..City of Puerto Princesa,60942852.91,70998829.52,81063889.38,53099809.76,58719280.13,64474533.12
Region V (Bicol Region),645781754.61,700554167.74,769941504.17,583603946.32,610052002.12,640072501.9
..Albay,162891247.6,180968462.13,197649022.63,145120612.18,153661119.3,162168989.09
..Camarines Norte,68695579.41,73491107.15,80353267.54,60192294.33,62394357.21,64926490.74
..Camarines Sur,211460608.88,226919979.96,249615877.03,194800393.57,200924478.19,210814078.37
..Catanduanes,31167838.87,34652233.33,37813642.91,28794788.03,30960050.56,32627922.2
..Masbate,89947793.23,95776008,106953736.91,80156639.87,82973520.87,85635437.26
..Sorsogon,81618686.61,88746377.17,97555957.15,74539218.35,79138475.99,83899584.24
Region VI (Western Visayas),691468130.36,736799283.01,797040846.53,575878266.75,615286741.61,641763672.77
..Aklan,71996796.73,82736002.43,91214647.77,63578606.28,69677343.4,73858140.95
..Antique,125519585.25,96347744.99,98626947.3,70692390.03,72534479.85,75748060.73
..Capiz,81892292.65,92120698.25,101233763.81,74384424.49,79634922.63,83577782.12
..Guimaras,18749760.45,21464548.08,22992460.81,16137640.99,17459577.26,18149015.56
..Iloilo,228762637.72,252930555.74,272000932.26,206013397.16,215784256.96,218856154.72
