Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),228147,244668,230729,238445,274874,302811,322877,341705,228147,239835,221710,221517,242788,255414,264395,274069
..Cordillera Administrative Region (CAR),124841,131679,123800,137970,154819,170436,182846,191979,124841,129731,118647,126771,133798,138911,144259,148641
..Region I (Ilocos Region),114290,121262,112448,122347,135393,150852,161085,170272,114290,119069,107884,112620,117745,124247,129358,134098
..Region II (Cagayan Valley),87647,94126,87342,100210,113467,124955,136414,140779,87647,92788,83317,90206,95812,100688,106371,108404
..Region III (Central Luzon),151004,160106,148170,155280,177191,196897,211504,221867,151004,156501,141454,141890,151575,158775,164504,170054
..Region IV-A (CALABARZON),142974,151565,138391,149079,167585,183922,196821,209858,142974,148586,132534,137082,146899,153645,159806,166573
..MIMAROPA Region,101036,106393,98827,108668,123817,132222,140279,148026,101036,104960,93731,98477,105879,106907,110168,114803
..Region V (Bicol Region),93461,99509,94426,106026,115802,126371,137049,142221,93461,98056,89434,94544,98110,101876,106654,108647
..Region VI (Western Visayas),105270,114433,107057,122322,134420,149117,158146,167869,105701,112452,102819,111626,117100,122581,125849,131601
..Negros Island Region (NIR),93989,101022,89513,99378,109517,123853,133644,141141,95722,99294,85962,88160,91606,95998,100270,104311
..Region VII (Central Visayas),109206,112306,104184,111755,140507,155295,170647,179452,107608,110302,100067,108137,125543,132067,140808,144829
..Region VIII (Eastern Visayas),83419,88395,85794,97033,108520,120649,132088,138367,83419,87033,82403,90307,94784,99072,105049,109023
..Region IX (Zamboanga Peninsula),79805,81859,71004,72782,82053,89874,97212,101042,79805,80904,68446,68183,72858,76157,79625,82136
..Region X (Northern Mindanao),94351,100097,93495,103079,117162,130603,140192,146763,94351,97941,89342,94917,102032,107815,111694,115795
..Region XI (Davao Region),109264,114796,107467,116221,131792,147046,159584,167549,109264,113693,104278,108161,115838,121209,126443,131104
..Region XII (SOCCSKSARGEN),88756,93776,88088,98096,108754,119200,127232,132526,88756,91779,83505,88896,93356,97404,100619,104856
..Region XIII (Caraga),81543,85471,79368,90342,100716,108805,115611,123247,81543,84486,75472,82670,87996,89678,92854,98053
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),55328,62803,60404,67612,76380,82244,87451,90914,55328,62070,58229,63256,67120,68722,70285,73554
Philippines,125290,133177,123404,132706,150758,166241,178420,187964,125290,130746,118233,122228,131336,137404,142868,148034
