Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),3069418917,3335681347,3114371438,3235426059,3748687164,4152663194,4451754972,4736289326,3069418917,3269787573,2992629080,3005734714,3311095103,3502673892,3645417344,3798804177
..Cordillera Administrative Region (CAR),221618941,235953560,222983280,251132498,284726284,317001604,343950501,365259684,221618941,232462011,213701579,230747325,246066092,258365548,271363480,282804482
..Region I (Ilocos Region),591838573,633692129,596390020,649735766,719903802,804200190,860884430,912188279,591838573,622229395,572183036,598080410,626070541,662366525,691329135,718395195
..Region II (Cagayan Valley),313751403,340705585,322348349,372247540,424047483,470192927,516713110,536688320,313751403,335863421,307495760,335085496,358068410,378876846,402914812,413266252
..Region III (Central Luzon),1795482249,1938163994,1843477477,1947725306,2240099224,2511017408,2720407751,2877774029,1795482249,1894517940,1759921692,1779758748,1916254160,2024848622,2115888433,2205720626
..Region IV-A (CALABARZON),2204507930,2386035310,2246113561,2448255328,2783588591,3091760979,3347563902,3610532153,2204507930,2339147427,2151056691,2251232934,2439991622,2582798643,2718006116,2865837080
..MIMAROPA Region,312642758,333595684,319522682,353763221,405711972,436585251,466719404,496230353,312642758,329101861,303045322,320587091,346935303,352999134,366537863,384854051
..Region V (Bicol Region),561324804,604161059,575107193,650296250,715197328,786904445,860590019,900803363,561324804,595337807,544698704,579872929,605931438,634381106,669725168,688152993
..Region VI (Western Visayas),487727862,535859706,507026785,582277133,643078817,718052573,766531582,819088135,489727862,526584017,486957095,531361517,560218699,590268468,609989807,642121696
..Negros Island Region (NIR),433888319,469709610,426403576,474588086,524262626,595133265,644606465,683376344,441888319,461677124,409485619,421014342,438519670,461286156,483633716,505052804
..Region VII (Central Visayas),683561804,713946271,683122217,739315828,937676904,1046664457,1161499972,1233494498,673561804,701209425,656121708,715385144,837811147,890110912,958405134,995511342
..Region VIII (Eastern Visayas),385329536,413749184,390559504,444195994,499612423,559393983,616877623,651055387,385329536,407377393,375127043,413404631,436376289,459349241,490602049,512980507
..Region IX (Zamboanga Peninsula),367162328,380566384,346939076,359725785,410051378,454635728,497805288,523848733,367162328,376123313,334444487,336992204,364102505,385243352,407748065,425833042
..Region X (Northern Mindanao),461611014,496107140,470399638,523179759,599615095,674536067,730587813,771646904,461611014,485421097,449505540,481753997,522179283,556837169,582073738,608823545
..Region XI (Davao Region),560451042,598095199,564469954,616029312,704780128,794002320,870012420,922200502,560451042,592352293,547720119,573304966,619460403,654491461,689338211,721606859
..Region XII (SOCCSKSARGEN),377772532,405039216,384894119,432904799,484512570,536722315,578991807,609519175,377772532,396412331,364870088,392303553,415912771,438581780,457882041,482258315
..Region XIII (Caraga),219519759,232738719,223008029,256193968,288224284,314610315,337815638,364002295,219519759,230056713,212059977,234440082,251821885,259304592,271318457,289592211
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),202474658,234532565,238938492,271553873,311268650,340380525,367590841,388166954,202474658,231794423,230333412,254056980,273532882,284417865,295438149,314045892
Philippines,13250084431,14288332663,13476075392,14608546503,16725044724,18604457545,20140903538,21402164435,13250084431,14027455562,12911356953,13455117064,14570348202,15377201309,16127611718,16855661069
