Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),875152015,974198308,1106868585,1228215947,1377834801,1402476165,1560706904,1714022762,875152015,960758236,1071397756,1154575131,1242601232,1216259356,1308435491,1414092799
..Cordillera Administrative Region (CAR),42613500,45859059,50059718,54398641,59172806,60753648,68006561,74320441,42613500,45226386,48455499,51137032,53365035,52686951,57014035,61315406
..Region I (Ilocos Region),92061941,99385309,108928991,118330871,129189112,137429076,147782809,173668330,92061941,98014187,105438241,111236042,116509287,119181633,123895314,143278806
..Region II (Cagayan Valley),48620763,52801727,58523072,67338362,72799785,77064815,85412159,92092277,48620763,52073273,56647636,63300919,65654534,66832367,71606206,75977419
..Region III (Central Luzon),156661235,172809819,192081254,215558802,234745422,248002635,276343957,305610321,156661235,170425729,185925798,202634425,211705315,215073549,231675941,252132798
..Region IV-A (CALABARZON),167423865,185002693,207457610,224864301,243252805,254427059,289034588,311329073,167423865,182450389,200809401,211381989,219377704,220644956,242315269,256850848
..MIMAROPA Region,48152999,50509024,56367362,62201954,67691665,72732129,79986053,86743995,48152999,49812200,54561008,58472478,61047773,63074964,67057172,71565012
..Region V (Bicol Region),85143886,97437825,108119857,118409946,127263309,136241255,150092340,166119531,85143886,96093570,104655037,111310376,114772500,118151528,125831534,137050941
..Region VI (Western Visayas),69476307,75874563,85048462,92077337,97686696,102277615,115147357,125932761,69476307,74827795,82322990,86556606,88098811,88697483,96535030,103896293
..Negros Island Region (NIR),54630261,58905390,63769012,70056522,75130673,78843358,91727819,98649917,54630261,58092729,61725463,65856105,67756647,68374760,76901008,81387564
..Region VII (Central Visayas),76209522,84275069,94973807,104704029,112122063,119834050,134372363,146819888,76209522,83112408,91930266,98426232,101117357,103922825,112652522,121128465
..Region VIII (Eastern Visayas),89906983,97514647,108736780,118750419,125874086,132989664,150704332,167212063,89906983,96169332,105252190,111630435,113519628,115331673,126344605,137952295
..Region IX (Zamboanga Peninsula),68782418,74367880,85020468,92380082,99827210,106223354,118686745,131193736,68840620,73281804,82237791,86778929,90000328,92086355,99481016,108236670
..Region X (Northern Mindanao),79149317,95190936,109553119,120890566,131259066,142034587,155631219,171601342,79149317,93877679,106042368,113642264,118376076,123175637,130475114,141573512
..Region XI (Davao Region),77739116,86003586,97976303,106971777,115311235,124195024,138189001,153532985,77739116,84817077,94836544,100558011,103993514,107704761,115852242,126666864
..Region XII (SOCCSKSARGEN),60983540,64956120,72817400,77983979,82540774,88521695,100753674,111126547,60983540,64059984,70483886,73308250,74439452,76768035,84467931,91680959
..Region XIII (Caraga),42172337,47415793,52873601,57580081,61776524,66269291,74239025,80500266,42172337,46761644,51179208,54127720,55713199,57470243,62239089,66413847
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),64757343,70931501,80495847,93303809,100384098,107383213,114999558,131011106,64699141,70013023,77974371,87771811,90560373,93158138,96432420,108085999
Philippines,2199637346,2433439250,2739671248,3024017425,3313862129,3457698633,3851816463,4241487341,2199637346,2399867444,2651875451,2842704756,2988608766,2998595214,3229211938,3499286497
