Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),1640251453,1598461505,960095438,1280579381,1618034678,1718323140,1889536209,1832607804,1640251453,1629320588,1111523355,1305582733,1426071625,1467978793,1580086508,1509382111
..Cordillera Administrative Region (CAR),32266092,23666821,31273604,24459638,58650273,58067571,58809017,45862385,32266092,26362454,32880080,29599224,50627094,51324427,49264975,47766387
..Region I (Ilocos Region),193759545,228616710,172416085,199497344,237714888,265086344,287511218,309861539,193759545,220744366,163339854,187162196,208828219,225883622,243518859,255143659
..Region II (Cagayan Valley),134311405,146410694,95318052,92913040,142270057,159441021,179527456,181062010,134311405,147930411,92662193,91345922,127310832,142292140,157601486,166479858
..Region III (Central Luzon),590017254,610978504,283879955,478244583,665695469,664261030,746290603,738628381,590017254,610620576,327860976,467526097,525406768,571135239,624084386,627820776
..Region IV-A (CALABARZON),712401187,766853055,298782200,515833776,754691616,781586717,788377781,849101114,712401187,770805671,355383516,517171273,606514627,665293924,649807282,689892041
..MIMAROPA Region,78995250,88406153,45361975,76147094,97441968,95813351,112055260,117111531,78995250,86362820,56825156,69762374,81355500,83832981,91284562,95385629
..Region V (Bicol Region),181534196,202053823,153689482,168229415,240760497,256888116,274839209,221692863,181534196,198313314,148804917,161135165,207199002,217952015,226550293,187549104
..Region VI (Western Visayas),80822313,126043150,87967527,46157104,84568517,87354631,100057711,87768744,80822313,89982015,90359914,48528473,68405507,77673846,86800548,76863546
..Negros Island Region (NIR),93521609,70388802,74316275,82127005,143147845,150493333,170710038,175079679,88521609,110664427,73532674,109105438,128204580,136536989,149393512,152945400
..Region VII (Central Visayas),239170524,283654948,167714133,252745157,269764657,276800455,316159694,310756271,244170524,270468908,172806492,220268228,220667373,239653517,273737392,262979661
..Region VIII (Eastern Visayas),181598780,196623541,126141784,116400056,178660171,176208525,195579076,154664484,181598780,194341303,123725911,120206146,147891089,154467406,168687342,143476862
..Region IX (Zamboanga Peninsula),115253491,114999468,94812096,113780909,139575443,149223104,172529940,159245515,115252423,112264387,93593826,109454368,119493305,129820388,146870766,126962856
..Region X (Northern Mindanao),172667000,192933853,130909555,164118478,197251902,205283242,226063125,238940964,172667000,185487270,139205477,149353364,163996452,179435549,196373345,196803454
..Region XI (Davao Region),240582476,266581670,224410864,257392381,307674312,338152277,401497562,441166181,240582476,257595317,217386878,245810015,274024344,291289839,340396201,364200446
..Region XII (SOCCSKSARGEN),100721169,87197719,75773874,86877133,104303472,110252714,122987876,94288726,100721169,81781231,69514497,82133283,88446632,94127475,106799657,86367801
..Region XIII (Caraga),132342879,105200111,83625938,100737470,137784415,134645146,152704564,171346482,132342879,97698941,84491936,93858298,112819003,114557256,127891902,138752634
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),38888844,43998326,23077025,47307023,59879646,62988748,67515803,72480143,38889913,41605169,21934991,43795100,49386280,53396921,55887180,57243324
Philippines,4959105466,5153068851,3129565862,4103546987,5437869826,5690869465,6262752143,6201664816,4959105466,5132349167,3375832641,4051797698,4606648231,4896652324,5275036196,5186015548
