Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),1806985785,1808887726,1508405860,1722462278,2217807909,2368451597,2460509309,2654256556,1806985785,1813466128,1513752652,1700401639,1972565415,2057093201,2098777295,2233965499
..Cordillera Administrative Region (CAR),58926266,70994383,48672428,52723325,65351060,80154367,84373482,109418293,58926266,73244211,52089552,54895835,60612077,74828420,76658336,99649099
..Region I (Ilocos Region),35444871,39192924,20103755,19346468,34362934,44155346,49083034,52119058,35444871,38955269,19545473,17851438,28785817,36723427,39368305,41219638
..Region II (Cagayan Valley),23466195,22941054,11122932,11496152,21522438,29667042,32923178,34990617,23466195,22689840,11200882,11824663,22510023,29880337,31700751,34382895
..Region III (Central Luzon),764462971,699599147,571569206,629495181,832865061,859361628,861789405,929774057,764462971,723549278,613295388,649640922,761280487,774543608,764070360,814055247
..Region IV-A (CALABARZON),1644602457,1612783339,1351069605,1533682575,1842022729,1701444004,1796305694,2065133318,1644602457,1688969917,1514987173,1664184880,1720210382,1568240201,1627381336,1855877343
..MIMAROPA Region,66813391,65508496,35194834,36102162,56966392,79607309,89947496,92677842,66813391,64736062,34964771,34529548,47981398,65936630,73218486,73572460
..Region V (Bicol Region),14659882,14644622,9458908,8697480,11187687,13754108,15748034,16738245,14659882,14618226,9198876,8003377,9884216,11973426,13152661,13948894
..Region VI (Western Visayas),44357835,47183685,28823750,29320895,43029352,49757560,51179344,49050349,44357835,48410434,29933533,28024103,39698660,43803720,44305026,42772220
..Negros Island Region (NIR),56597697,64177056,50071393,49148095,69186012,81692258,92117794,93104848,56597697,62644987,46688006,46054422,63431327,71940271,79172612,79477664
..Region VII (Central Visayas),469250003,480490573,386719838,373309263,456764565,537077840,591772370,602329891,469250003,484136080,386594322,384825796,427170966,488386500,528580906,534429036
..Region VIII (Eastern Visayas),168875453,142581537,113185489,127313160,133890074,147702019,147196145,160926156,168875453,151436612,130918035,147053077,138594705,149214086,146520441,159013322
..Region IX (Zamboanga Peninsula),20396069,22414440,12675106,12633635,20532661,24444412,27206479,28356341,20396069,22401474,12315426,11863827,17397073,19985431,21249992,21850737
..Region X (Northern Mindanao),37683903,39233652,28226148,28586421,37150509,38066773,42190092,45258789,37683903,39577135,28375723,26983994,31907139,31411014,34287621,36680254
..Region XI (Davao Region),167983301,183178223,141794647,143905221,176507736,209498140,236499192,246733474,167983301,182735316,134662441,130991183,143527931,161117410,178175068,185088136
..Region XII (SOCCSKSARGEN),55444268,61628813,60058369,65961656,80530850,70461401,89639569,108380531,55444268,64860668,63663088,65582109,70652551,57475852,71845343,86707690
..Region XIII (Caraga),58918866,125434381,112393776,122398945,122085629,111616676,109598029,115903959,58918866,127280749,114388142,116529677,109323883,101372067,100334712,104934662
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),23703292,38865442,34760194,32045308,31491659,29454720,29209391,31579425,23703292,40330647,33094791,30433122,26317247,23922643,23359947,25172375
Philippines,5518572505,5539739492,4524306240,4998628220,6253255258,6476367199,6807288037,7436731749,5518572505,5664043030,4749668275,5129673611,5691851297,5767848246,5952159196,6442797171
