Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),3428634374,3456543125,2624772626,3301738271,4156366472,4388378503,4664356844,4938053073,3428634374,3421811085,2769058059,3159794290,3496312935,3630803668,3775918830,3923944856
..Cordillera Administrative Region (CAR),29015296,37185977,21102711,19823840,42544105,51726976,65447305,65134265,29015296,36606402,21021998,17875558,33659503,41731031,51403459,51406869
..Region I (Ilocos Region),45513306,52092720,33264525,25330908,50874382,68231812,71072513,74006865,45513306,51300737,32469794,24561323,45762153,59491655,61129652,62771272
..Region II (Cagayan Valley),102323396,142506229,113583964,105902578,150304605,170072035,227575537,188074593,102323396,140968248,97709660,74866274,91756691,101038537,130744070,111184811
..Region III (Central Luzon),844484697,770929409,623527078,801338806,1163314719,1135842031,1206126712,1278267091,844484697,763284942,591102711,680559803,839051838,799624905,827009214,887226115
..Region IV-A (CALABARZON),2113093135,2339592063,1665656993,2098055492,2701492696,2641419291,2732967112,3016355487,2113093135,2340745526,1777210385,2029113699,2184847008,2133447237,2154880102,2336564993
..MIMAROPA Region,67215951,78026822,54886150,46324936,77324142,76430480,74171288,153820957,67215951,76043968,54115954,42752004,63019973,59849241,56801202,114122839
..Region V (Bicol Region),74924887,76573342,61567862,43724082,57397739,76038434,119862611,114784500,74924887,75257439,61049476,40414790,47577917,61888534,92119815,89368389
..Region VI (Western Visayas),108256095,107042495,73876583,112017609,134169173,147482954,163055280,140310958,106730664,102416340,72931413,110471358,110640251,119726535,126255255,110481008
..Negros Island Region (NIR),135347246,133949144,104163079,100727683,182813588,176337453,186348419,192373199,140484610,143784984,119244681,91003307,148823430,145978952,150359551,156617818
..Region VII (Central Visayas),400169852,392101767,309548487,396440730,558001125,545290364,599841243,622597530,396557919,381304907,305428248,387589607,471069027,456873292,484928901,498442797
..Region VIII (Eastern Visayas),19296693,20654775,17042718,18498478,62315049,65593354,62161384,26961666,19296693,20259243,16644205,18076693,57026684,64765441,59323290,25252229
..Region IX (Zamboanga Peninsula),22692501,29518910,22053340,18907904,43654768,42242971,45496986,44774574,22692501,29094158,21511601,17768667,38255104,35065923,37032513,36402584
..Region X (Northern Mindanao),32418578,35010667,26329172,32686120,49819826,50142846,61478650,56765705,32418578,34644289,30477805,35584824,46224919,43762639,52492069,49255426
..Region XI (Davao Region),158248533,154241104,112518414,129122464,175146864,184402296,203254596,223747186,158248533,153035952,124509120,134617836,155908562,162935460,174202776,193912114
..Region XII (SOCCSKSARGEN),34639464,37196450,30879871,35605835,48308774,46097546,50732703,61241671,34639464,37130892,32731446,35139305,39442486,37676031,40596509,50263927
..Region XIII (Caraga),9448912,10553493,7167430,5514204,7754066,9966800,14306541,17259559,9448912,10421145,6944298,5291027,7334522,8994232,12554768,15129640
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),36486576,22998592,16104168,32364710,40153504,40133502,65061427,57584672,36486576,22854336,16729187,33728543,35138802,30251202,47126770,42775793
Philippines,7662209491,7896717085,5918045172,7324124649,9701755599,9915829647,10613317151,11272113549,7662209491,7840964591,6150890041,6939208909,7911851805,7993904515,8334878748,8755123480
