Region,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..National Capital Region (NCR),505368,552212,595768,459630,479415,503483
..Cordillera Administrative Region (CAR),199043,220480,236844,183652,194036,201088
..Region I (Ilocos Region),137192,152435,164160,123155,131491,137645
..Region II (Cagayan Valley),121930,135690,148941,112664,118762,124271
..Region III (Central Luzon),187249,207517,224858,172816,181682,191874
..Region IV-A (CALABARZON),189066,204215,218928,177153,184067,192048
..MIMAROPA Region,138276,142645,153138,119928,124518,129055
..Region V (Bicol Region),104562,112503,122613,94495,97969,101932
..Region VI (Western Visayas),144535,153011,164440,120374,127776,132404
..Negros Island Region (NIR),134360,153516,167107,116508,125078,131936
..Region VII (Central Visayas),180719,200827,219111,166174,176496,187520
..Region VIII (Eastern Visayas),111390,122447,133164,106905,112848,118972
..Region IX (Zamboanga Peninsula),123940,133023,144309,108134,111820,115358
..Region X (Northern Mindanao),209228,228905,244359,182748,190554,200236
..Region XI (Davao Region),204951,232475,252515,178440,188571,198559
..Region XII (SOCCSKSARGEN),126663,138471,148466,113051,115789,120878
..Region XIII (Caraga),131683,140297,150290,113180,117396,124150
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),63860,69694,73030,54764,56058,56643
Philippines,198561,217255,234277,179788,188061,197054
