Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),397870,442597,450942,503378,560698,622443,672923,696805,397870,410906,397530,419571,434213,457740,461374,480791
..Cordillera Administrative Region (CAR),28676989,27032460,26900335,29639183,29672963,33798890,35810726,35979554,28676989,29875118,29231325,28726344,28121885,27785684,28159668,29359201
..Region I (Ilocos Region),109726744,104414631,111752734,115897688,124172679,133144433,146078498,141068463,109726744,111847324,112835219,107277252,109155151,112779826,112089848,112815881
..Region II (Cagayan Valley),107772358,103514231,107984406,115025051,120600439,132041584,144915274,128853913,107772358,115499391,115309087,116817411,117356951,120096910,119128569,122628761
..Region III (Central Luzon),266500392,231944950,245519116,260135779,284557585,316457276,329043484,319983436,266500392,267583728,254234410,239036190,244145115,249631767,248710843,258433790
..Region IV-A (CALABARZON),153314633,154281235,162496091,161157817,171195873,178277285,195756117,231696014,153314633,155144297,144737751,131118281,133346622,137316507,136134324,146878523
..MIMAROPA Region,67109673,64090817,62743979,70893525,74676679,81567560,83975154,84760113,67109673,70293568,68872647,72446944,70678468,74924914,70895949,76796410
..Region V (Bicol Region),89547860,85787072,89080266,95580484,100710958,93873669,106847203,103880434,89547860,93731957,92558316,89727203,91940826,87178822,83467059,81019524
..Region VI (Western Visayas),94403990,88008020,94394776,99973950,110814569,109175848,114795090,118195154,94403990,96255217,102219207,106329116,107110945,100505478,93068422,101896350
..Negros Island Region (NIR),82040345,79568290,84375037,90536526,98794120,116259490,109551932,110646784,82040345,81323417,87041046,90768559,86871118,92944001,82971043,89983464
..Region VII (Central Visayas),56657525,56088177,59640116,66979549,68389358,79750588,87939956,87830313,56657525,57013290,58524187,61738287,57464136,60043635,63266814,63073638
..Region VIII (Eastern Visayas),62057672,61193584,65782636,67778020,69714654,73933209,84263374,89104875,62057672,63360967,63930205,64022274,60034450,62432747,64869162,64041392
..Region IX (Zamboanga Peninsula),95359250,97466619,100660992,109884447,123276776,136904901,147331610,148916998,95359250,96278249,95794926,98979034,99401793,100867538,97823922,98117100
..Region X (Northern Mindanao),173541351,182869141,193443685,222758347,241882831,259146512,254740824,255014912,173541351,176155836,178853596,185620717,186589071,186968043,187154265,189499314
..Region XI (Davao Region),144355518,149367214,174410218,184461078,195640297,231378202,235427563,234082160,144355518,139227277,140876320,142050732,146368374,147452956,146897161,149677088
..Region XII (SOCCSKSARGEN),127681321,130741954,135531755,141691564,150490553,164715056,172306984,161983060,127681321,127636365,129400918,130467274,132803504,129678271,130944517,132457724
..Region XIII (Caraga),40509755,39889432,43617592,44613563,47497957,47183868,50073102,51167102,40509755,39032010,40340995,38488691,37422819,37339288,38522723,38693223
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),62963250,64838296,69638927,76976661,91440870,97333244,104009300,102672234,62963250,63186230,65232879,71176438,74489214,76812646,73433504,77036122
Philippines,1762616497,1721538720,1828423603,1954486610,2104089860,2285564057,2403539115,2406532325,1762616497,1783855147,1780390564,1775210317,1783734655,1805216771,1777999165,1832888295
