Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),1136680646,1228633443,1096049972,1134469654,1237297780,1296616855,1366199326,1392785714,1136680646,1228679599,1061267474,1089765723,1124146039,1138869936,1180128974,1187807650
..Cordillera Administrative Region (CAR),79585851,78533465,70478517,79922987,88873951,96096121,99732482,105318534,79585851,78169085,67450967,78439958,83898456,87420100,87587629,89087778
..Region I (Ilocos Region),172137616,193863821,179865209,200147631,229881819,255819809,265184563,279478816,172137616,187636364,169817032,186623498,200125651,214081058,223704054,232728807
..Region II (Cagayan Valley),111354634,117810110,94642512,105894355,128691563,148549023,166884612,173672256,111354634,115420532,96118242,105274785,117416275,127441265,139723173,138958934
..Region III (Central Luzon),880191747,960971397,712818815,827398190,973388820,1069674349,1158909992,1201983778,880191747,936035540,749672601,853508939,929361520,980920644,1051546196,1076256889
..Region IV-A (CALABARZON),1382758284,1452891208,1222500073,1343319620,1513851022,1606374111,1703200428,1791982747,1382758284,1432359137,1251921162,1393396973,1493261903,1534669364,1605604454,1670648047
..MIMAROPA Region,134007316,124282053,103295916,124419610,158605195,137348968,146253249,148807818,134007316,136989190,125821760,128566111,133860065,131468063,139136587,136975018
..Region V (Bicol Region),189863118,203554535,166510093,187269801,222926775,240291439,254403627,242960469,189863118,204768924,177064068,192642314,209735413,219005500,230175786,216454214
..Region VI (Western Visayas),99646701,110309949,100440349,116477430,178645362,158182995,160640432,163521275,99646701,108916967,96420057,100880890,109941834,117322794,122111841,127348204
..Negros Island Region (NIR),106161746,113820581,112133897,124676092,145790889,164170267,183201326,192709439,106161746,108913061,100300579,110073838,119619385,129162837,141838874,147841935
..Region VII (Central Visayas),300209477,322656651,276071433,284758374,322853188,347330524,372262813,379645767,300209477,315281520,260371184,269935047,286110752,298059160,318406284,320043681
..Region VIII (Eastern Visayas),181832721,172209732,143738558,162420575,188839246,208033025,222139444,218801433,181832721,187588174,172658839,186465677,199838016,211488040,223522018,214927175
..Region IX (Zamboanga Peninsula),115630978,117534118,128183937,139000036,160273889,168998421,181858992,178911509,115630978,116661704,114524745,123012211,131863268,134301779,142448837,137527464
..Region X (Northern Mindanao),203783444,213311481,216078839,239472050,273350028,293282875,316476787,321486428,203783444,211328001,206062198,223956778,238830562,247964009,266632185,268149926
..Region XI (Davao Region),214189712,235187946,208533209,233561301,265701216,296828621,331393145,350591666,214189712,236402372,202072001,222240600,236582076,251033424,273735635,281014671
..Region XII (SOCCSKSARGEN),113054922,108263879,111071076,119696688,134741164,143309002,154815807,162894594,113054922,113955707,111741821,120007769,124713515,126381631,135664375,141048438
..Region XIII (Caraga),108829764,106318905,94350545,115957716,135299423,141122863,147610551,161731805,108829764,110668609,96385608,106750207,111033952,113580254,120544473,126371445
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),52606612,59128217,61469149,68827362,77924151,83817499,91339216,92531631,52606612,58094211,55645375,60080548,63408984,65065637,70720453,70497211
Philippines,5582525289,5919281491,5098232099,5607689474,6436935483,6855846768,7322506792,7559815680,5582525289,5887868697,5115315713,5551621866,5913747665,6128235496,6473231829,6583687488
