Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),432181,461671,429756,453797,505368,552212,595591,631279,432181,456533,414873,430812,459630,479415,503424,522564
..Cordillera Administrative Region (CAR),173651,179759,164063,177940,199043,220480,236955,249740,173651,179544,160384,170733,183652,194036,201186,207589
..Region I (Ilocos Region),113471,120613,112736,121291,137192,152435,164157,172668,113471,120625,109712,114605,123155,131491,137604,143476
..Region II (Cagayan Valley),107568,110333,99530,107682,121930,135690,149147,152041,107568,113688,100552,104976,112664,118762,124370,128410
..Region III (Central Luzon),173452,180481,149828,164418,187249,207517,224683,234427,173452,180396,151208,161137,172816,181682,191739,198609
..Region IV-A (CALABARZON),175563,182040,158046,169644,189066,204215,219068,232423,175563,179868,156156,166170,177153,184067,192226,199726
..MIMAROPA Region,119813,119786,105978,117560,138276,142645,153194,160506,119813,123356,110660,113571,119928,124518,129053,133480
..Region V (Bicol Region),86916,92373,84861,92060,104562,112503,122688,124630,86916,93050,85012,88074,94495,97969,102051,101700
..Region VI (Western Visayas),110433,117225,106063,116006,144535,153011,164625,173343,110433,117750,104466,109748,120374,127776,132550,140068
..Negros Island Region (NIR),109485,116337,107559,117239,134360,153516,166853,176179,109485,113944,102689,108405,116508,125078,131749,138726
..Region VII (Central Visayas),163590,173021,153461,160634,180719,200827,219183,229518,163590,170963,148906,155686,166174,176496,187622,192739
..Region VIII (Eastern Visayas),96204,97322,91001,98333,111390,122447,133090,137209,96204,100261,95505,100718,106905,112848,118888,119166
..Region IX (Zamboanga Peninsula),90908,94736,89677,95941,108516,117801,126523,129675,90908,94111,85298,89218,94577,97471,100339,101724
..Region X (Northern Mindanao),167832,178607,171013,186955,209228,228905,244431,255321,167832,175018,163265,171964,182748,190554,200314,208312
..Region XI (Davao Region),164042,177082,169558,182463,204951,232475,252431,265488,164042,172912,158634,166436,178440,188571,198496,206727
..Region XII (SOCCSKSARGEN),106737,109949,106956,114181,126663,138471,148549,152350,106737,108812,102816,107071,113051,115789,120931,125453
..Region XIII (Caraga),107932,111248,104127,117022,131683,140297,150462,161758,107932,112471,101432,107800,113180,117396,124236,129925
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),53717,57160,54855,59392,67406,72034,77070,78874,53717,55835,51582,54723,57738,59276,60406,62438
Philippines,172712,181920,164388,176329,198561,217255,234305,245997,172712,180661,160599,168421,179788,188061,197096,204005
