Region,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Current Prices 2025,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024,At Constant 2018 Prices 2025
..National Capital Region (NCR),4677361615,5065118644,4704318265,5022531585,5654268524,6275638406,6844991491,7356517061,4677361615,4995043952,4538266193,4755433857,5143771279,5435230482,5760490934,6054845358
..Cordillera Administrative Region (CAR),200004282,216540164,198123690,214321711,247510937,280184719,310189773,333856705,200004282,213678073,192194289,203599557,225732715,245690760,262701954,276510744
..Region I (Ilocos Region),305732891,332022206,306299357,328079992,375415184,423675079,466040663,504474063,305732891,330878979,299225726,314718084,345554520,374126725,399605459,423086550
..Region II (Cagayan Valley),165934279,178046440,164704330,179084032,206384926,229994734,253144538,277096273,165934279,180593644,159675650,167862366,186272336,199348492,212241871,227947597
..Region III (Central Luzon),915701736,991898795,905773251,974801898,1109304555,1260318237,1401963779,1518727207,915701736,980160363,877370304,928641046,1011278061,1086422266,1165933557,1241415597
..Region IV-A (CALABARZON),1170921829,1258620105,1180124298,1281513354,1455330588,1648249960,1826981568,1975076190,1170921829,1244096485,1137785352,1204420583,1315906424,1422219495,1527671147,1618693800
..MIMAROPA Region,169627819,187216683,176603583,187396816,219808054,252084890,279459290,304496941,169627819,179500874,163086223,168711953,188428735,204756281,219336695,233696775
..Region V (Bicol Region),242603857,271493822,261257156,281786890,322144021,366389059,409156073,442543222,242603857,266440892,248147915,257820229,281927708,303867680,327176649,346673788
..Region VI (Western Visayas),317601222,350614512,307485798,335758244,402008199,469440440,522502783,564080275,317601222,346219782,296118595,315210228,358825488,397458470,427288533,454191566
..Negros Island Region (NIR),317223603,347529181,315859616,344672526,398599660,457239431,512032706,549670645,317223603,339556520,301825566,316855875,351238162,378910446,410657114,433857947
..Region VII (Central Visayas),667108919,721180005,670511985,710942377,814788512,926460286,1031656531,1110162275,667108919,714542985,657461523,698273412,765392345,831455978,895368335,941712229
..Region VIII (Eastern Visayas),200493636,222130327,204744677,219948382,254272709,285763419,315157151,337696865,200493636,218343363,198178674,210578880,232307788,249302375,266839531,281738351
..Region IX (Zamboanga Peninsula),207255111,225427334,209335610,225302004,258747116,290001930,318710661,344468742,207255111,224586281,206463029,218967953,241375248,257892588,273545731,291741289
..Region X (Northern Mindanao),443797219,489043363,450892833,486661669,555558170,629812169,702595354,765913618,443797219,479948587,436517299,463227617,509853888,549234782,590114139,637603703
..Region XI (Davao Region),482883995,538058603,507664121,549118107,634662612,727090333,809368026,876590654,482883995,525256018,490277175,517897925,571281971,619741034,661520317,707150891
..Region XII (SOCCSKSARGEN),213568305,235886785,220731940,242500378,279068637,315470492,348872486,375816703,213568305,228390121,208105053,222035775,246139044,265302208,283710247,303480768
..Region XIII (Caraga),141222275,156721809,154606425,171284937,194046485,217362193,241966736,264843459,141222275,156560260,148275325,160465810,175436474,188532810,203950556,218661252
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),81005880,89494184,85880933,92733501,105332105,116976593,128607516,141555888,81005880,87229588,83163109,88530885,97400186,103447438,109756539,119052816
Philippines,10920048472,11877042960,11024917868,11848438402,13487250995,15172152370,16723397124,18043586787,10920048472,11711026767,10642137002,11213252037,12248122371,13112940310,13997909306,14812061022
