Region,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..National Capital Region (NCR),6892127003,7572877704,8214308357,6268351531,6574558158,6941893740
..Cordillera Administrative Region (CAR),366057851,410079730,445523963,337753055,360896543,378264592
..Region I (Ilocos Region),729469681,812639321,877318738,654835322,700987609,735616621
..Region II (Cagayan Valley),455676928,510585340,564165184,421045562,446886667,470717203
..Region III (Central Luzon),2367250960,2646449863,2892168121,2184784695,2316974676,2467916743
..Region IV-A (CALABARZON),3140377483,3432901355,3723568508,2942514950,3094205367,3266385078
..MIMAROPA Region,453089929,471001419,509501135,392967267,411149258,429376244
..Region V (Bicol Region),645781755,700554168,769941504,583603946,610052002,640072502
..Region VI (Western Visayas),691468130,736799283,797040847,575878267,615286742,641763673
..Negros Island Region (NIR),643184669,737669188,806010142,557728664,601017284,636368330
..Region VII (Central Visayas),1206031058,1353541397,1491366498,1108967233,1189558773,1276347867
..Region VIII (Eastern Visayas),512826609,567729652,621904785,492180254,523223162,555624456
..Region IX (Zamboanga Peninsula),490181436,531513039,582571225,427670777,446794798,465696349
..Region X (Northern Mindanao),1070791029,1182241556,1273436870,935273521,984166833,1043493796
..Region XI (Davao Region),1096004125,1255297156,1376650876,954232421,1018227414,1082492455
..Region XII (SOCCSKSARGEN),564300355,623494550,675617883,503656063,521362110,550076310
..Region XIII (Caraga),376843866,405668923,439146876,323893245,339452352,362766539
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),326813470,362519548,386127983,280267918,291592829,299484139
Philippines,22028276338,24313563195,26446369495,19945604691,21046392577,22244356637
