Year,Month,Exports,Imports,Balance of Trade (BOT-G),Total Trade
1991,Jan,635.57,950.41,-314.85,1585.98
1991,Feb,662.65,1094.81,-432.16,1757.46
1991,Mar,742.13,1076.87,-334.74,1819.00
1991,Apr,709.70,896.52,-186.82,1606.22
1991,May,688.51,983.15,-294.64,1671.66
1991,Jun,767.70,937.91,-170.21,1705.61
1991,Jul,793.50,1025.69,-232.19,1819.20
1991,Aug,741.20,967.43,-226.23,1708.63
1991,Sep,764.46,988.48,-224.02,1752.94
1991,Oct,756.88,1023.15,-266.27,1780.02
1991,Nov,751.08,1110.04,-358.96,1861.11
1991,Dec,826.13,996.90,-170.77,1823.03
1991,Total,8839.51,12051.36,-3211.85,20890.88
1992,Jan,662.37,1037.69,-375.33,1700.06
1992,Feb,714.90,1032.51,-317.61,1747.41
1992,Mar,898.46,1164.81,-266.36,2063.27
1992,Apr,666.45,1196.81,-530.36,1863.26
1992,May,811.71,1186.29,-374.59,1998.00
1992,Jun,835.57,1088.95,-253.38,1924.52
1992,Jul,851.13,1166.41,-315.28,2017.54
1992,Aug,913.09,1399.19,-486.10,2312.29
1992,Sep,873.34,1335.70,-462.36,2209.05
1992,Oct,860.36,1330.79,-470.43,2191.15
1992,Nov,824.14,1255.04,-430.90,2079.19
1992,Dec,912.80,1324.72,-411.91,2237.52
1992,Total,9824.31,14518.93,-4694.61,24343.24
1993,Jan,790.44,1183.58,-393.15,1974.02
1993,Feb,842.71,1181.68,-338.97,2024.38
1993,Mar,842.46,1390.57,-548.11,2233.04
1993,Apr,861.73,1504.00,-642.28,2365.73
1993,May,932.14,1460.29,-528.15,2392.43
1993,Jun,914.44,1335.13,-420.69,2249.56
1993,Jul,998.17,1553.48,-555.32,2551.65
1993,Aug,994.50,1512.67,-518.16,2507.17
1993,Sep,1018.30,1565.59,-547.29,2583.89
1993,Oct,1012.52,1654.69,-642.16,2667.21
1993,Nov,1163.36,1682.74,-519.38,2846.10
1993,Dec,1004.05,1572.98,-568.93,2577.02
1993,Total,11374.81,17597.40,-6222.60,28972.21
1994,Jan,951.62,1650.56,-698.94,2602.19
1994,Feb,927.01,1349.04,-422.03,2276.05
1994,Mar,1057.67,1599.52,-541.86,2657.19
1994,Apr,965.79,1775.99,-810.20,2741.79
1994,May,1083.86,1810.36,-726.50,2894.22
1994,Jun,1125.27,2041.89,-916.62,3167.17
1994,Jul,1217.56,1768.46,-550.90,2986.02
1994,Aug,1178.01,1728.14,-550.13,2906.16
1994,Sep,1239.74,1967.95,-728.21,3207.69
1994,Oct,1299.34,1886.76,-587.42,3186.10
1994,Nov,1128.46,1860.74,-732.28,2989.21
1994,Dec,1308.55,1893.13,-584.58,3201.68
1994,Total,13482.90,21332.57,-7849.67,34815.46
1995,Jan,1160.75,1855.58,-694.83,3016.33
1995,Feb,1263.77,1615.89,-352.12,2879.66
1995,Mar,1298.58,2142.54,-843.96,3441.11
1995,Apr,1377.42,2229.56,-852.15,3606.98
1995,May,1400.58,2143.63,-743.05,3544.21
1995,Jun,1521.69,2328.66,-806.97,3850.36
1995,Jul,1592.69,2175.49,-582.79,3768.18
1995,Aug,1591.45,2273.59,-682.14,3865.03
1995,Sep,1594.97,2444.22,-849.25,4039.19
1995,Oct,1601.65,2342.36,-740.71,3944.01
1995,Nov,1422.63,2414.72,-992.09,3837.35
1995,Dec,1621.01,2571.39,-950.37,4192.40
1995,Total,17447.19,26537.63,-9090.44,43984.81
1996,Jan,1420.45,2236.09,-815.65,3656.54
1996,Feb,1594.01,2359.58,-765.57,3953.58
1996,Mar,1670.60,2760.47,-1089.87,4431.08
1996,Apr,1491.87,2811.15,-1319.28,4303.01
1996,May,1612.18,2712.35,-1100.17,4324.53
1996,Jun,1793.39,2750.55,-957.16,4543.94
1996,Jul,1693.69,2838.70,-1145.01,4532.40
1996,Aug,1773.89,2799.68,-1025.78,4573.57
1996,Sep,1875.57,2870.06,-994.49,4745.63
1996,Oct,1883.71,2858.51,-974.80,4742.22
1996,Nov,1849.91,2711.55,-861.64,4561.47
1996,Dec,1883.27,2718.24,-834.97,4601.51
1996,Total,20542.55,32426.93,-11884.39,52969.48
1997,Jan,1692.26,2837.89,-1145.63,4530.15
1997,Feb,1812.42,2626.54,-814.12,4438.95
1997,Mar,2001.02,2935.16,-934.15,4936.18
1997,Apr,2082.43,2942.08,-859.65,5024.51
1997,May,1982.88,2954.37,-971.49,4937.24
1997,Jun,2129.08,3032.34,-903.26,5161.42
1997,Jul,2067.14,3169.20,-1102.06,5236.35
1997,Aug,2257.97,3327.94,-1069.97,5585.92
1997,Sep,2337.47,2956.48,-619.01,5293.95
1997,Oct,2326.05,3413.80,-1087.75,5739.85
1997,Nov,2308.43,2945.29,-636.86,5253.72
1997,Dec,2230.56,2792.73,-562.18,5023.29
1997,Total,25227.70,35933.82,-10706.12,61161.52
1998,Jan,2114.81,2837.90,-723.09,4952.71
1998,Feb,2227.20,2585.23,-358.03,4812.44
1998,Mar,2474.18,2613.60,-139.41,5087.78
1998,Apr,2284.50,2457.46,-172.95,4741.96
1998,May,2414.74,2624.02,-209.28,5038.76
1998,Jun,2389.57,2260.74,128.83,4650.31
1998,Jul,2501.37,2465.59,35.78,4966.97
1998,Aug,2652.45,2508.47,143.99,5160.92
1998,Sep,2786.32,2454.45,331.87,5240.78
1998,Oct,2542.30,2417.41,124.88,4959.71
1998,Nov,2585.82,2373.40,212.41,4959.22
1998,Dec,2523.08,2061.61,461.47,4584.69
1998,Total,29496.35,29659.89,-163.53,59156.24
1999,Jan,2580.78,2399.85,180.94,4980.63
1999,Feb,2569.33,2256.56,312.77,4825.89
1999,Mar,2702.33,2656.30,46.03,5358.63
1999,Apr,2345.95,2599.21,-253.26,4945.15
1999,May,2746.90,2533.48,213.42,5280.37
1999,Jun,2857.20,2670.94,186.26,5528.13
1999,Jul,2851.06,2791.64,59.42,5642.70
1999,Aug,3211.54,2661.46,550.08,5872.99
1999,Sep,3693.28,2555.30,1137.98,6248.57
1999,Oct,3459.67,2612.62,847.04,6072.29
1999,Nov,3075.37,2351.64,723.73,5427.01
1999,Dec,2943.51,2653.47,290.04,5596.98
1999,Total,35036.89,30742.46,4294.43,65779.35
2000,Jan,2716.57,2900.85,-184.28,5617.42
2000,Feb,2902.31,2775.14,127.16,5677.45
2000,Mar,2988.52,2908.07,80.45,5896.59
2000,Apr,2667.59,2728.17,-60.58,5395.76
2000,May,2930.83,2641.93,288.90,5572.77
2000,Jun,3410.27,2730.33,679.94,6140.60
2000,Jul,3219.40,2855.65,363.75,6075.05
2000,Aug,3529.46,2842.45,687.01,6371.91
2000,Sep,3502.01,3294.23,207.77,6796.24
2000,Oct,3398.14,3276.14,122.00,6674.28
2000,Nov,3316.78,2919.80,396.98,6236.58
2000,Dec,3496.37,2618.10,878.27,6114.46
2000,Total,38078.25,34490.87,3587.38,72569.12
2001,Jan,2889.00,3031.16,-142.16,5920.15
2001,Feb,2805.47,2482.11,323.36,5287.58
2001,Mar,2869.64,3037.40,-167.76,5907.04
2001,Apr,2245.69,3105.06,-859.37,5350.76
2001,May,2599.97,2939.86,-339.89,5539.83
2001,Jun,2578.16,2856.88,-278.72,5435.05
2001,Jul,2594.45,2873.16,-278.71,5467.61
2001,Aug,2620.76,2893.64,-272.87,5514.40
2001,Sep,2731.02,2752.00,-20.98,5483.02
2001,Oct,2940.77,2540.95,399.82,5481.72
2001,Nov,2629.79,2216.80,413.00,4846.59
2001,Dec,2645.47,2328.14,317.33,4973.62
2001,Total,32150.20,33057.16,-906.96,65207.36
2002,Jan,2631.44,2225.79,405.65,4857.22
2002,Feb,2627.87,2543.97,83.90,5171.84
2002,Mar,2849.06,3435.73,-586.67,6284.80
2002,Apr,2748.80,3881.24,-1132.44,6630.05
2002,May,2918.06,3302.52,-384.46,6220.57
2002,Jun,2936.41,3353.37,-416.96,6289.78
2002,Jul,3222.74,3520.29,-297.54,6743.03
2002,Aug,3032.17,3857.01,-824.84,6889.18
2002,Sep,3191.39,3536.52,-345.13,6727.92
2002,Oct,3033.18,3247.17,-213.99,6280.35
2002,Nov,3103.28,3436.50,-333.22,6539.79
2002,Dec,2913.75,2896.40,17.35,5810.14
2002,Total,35208.16,39236.51,-4028.36,74444.67
2003,Jan,2732.85,3142.49,-409.64,5875.33
2003,Feb,2787.82,3021.44,-233.61,5809.26
2003,Mar,3128.98,3694.22,-565.24,6823.20
2003,Apr,2726.21,3432.72,-706.51,6158.93
2003,May,2827.66,3609.65,-781.99,6437.31
2003,Jun,3060.47,3175.46,-114.99,6235.93
2003,Jul,3009.49,3491.62,-482.12,6501.11
2003,Aug,3003.21,3360.19,-356.98,6363.41
2003,Sep,3353.95,3265.38,88.57,6619.33
2003,Oct,3339.92,3401.22,-61.30,6741.14
2003,Nov,3085.49,3545.75,-460.26,6631.24
2003,Dec,3175.14,3330.38,-155.24,6505.52
2003,Total,36231.21,40470.51,-4239.31,76701.72
2004,Jan,2849.37,3481.40,-632.04,6330.77
2004,Feb,3004.81,3313.65,-308.84,6318.46
2004,Mar,3361.75,3921.99,-560.24,7283.74
2004,Apr,2982.49,3764.80,-782.31,6747.30
2004,May,3267.55,3584.00,-316.45,6851.55
2004,Jun,3317.93,3778.07,-460.14,7096.00
2004,Jul,3108.88,3760.77,-651.89,6869.65
2004,Aug,3430.06,3687.63,-257.57,7117.69
2004,Sep,3641.43,3816.87,-175.45,7458.30
2004,Oct,3753.43,4007.92,-254.49,7761.36
2004,Nov,3685.41,3657.58,27.83,7342.99
2004,Dec,3277.42,3264.51,12.91,6541.93
2004,Total,39680.52,44039.21,-4358.69,83719.73
2005,Jan,3294.32,3501.40,-207.07,6795.72
2005,Feb,3000.16,3211.23,-211.06,6211.39
2005,Mar,3267.57,3832.01,-564.44,7099.58
2005,Apr,3245.70,4112.56,-866.86,7358.25
2005,May,3304.99,3798.00,-493.00,7102.99
2005,Jun,3358.57,4210.26,-851.69,7568.84
2005,Jul,3503.07,3832.99,-329.92,7336.06
2005,Aug,3512.64,4238.87,-726.23,7751.51
2005,Sep,3674.93,4337.20,-662.27,8012.13
2005,Oct,3634.53,4159.12,-524.60,7793.65
2005,Nov,3631.01,3975.17,-344.16,7606.17
2005,Dec,3827.18,4209.38,-382.19,8036.56
2005,Total,41254.68,47418.18,-6163.50,88672.87
