Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Afghanistan,25773,0,25773,25773,0,0,0,0,0,0,0,0,0,0,0,0,19016,19016,0,-19016,13517,13517,0,-13517,335208,335208,0,-335208,100771,28420,72351,43931,36868,4135,32733,28598,60999,48309,12690,-35619,64684,34868,29816,-5052,89129,0,89129,89129,433209,89824,343385,253561,98636,0,98636,98636,34177,1880,32297,30417,196166,22021,174145,152124,172240,13744,158496,144752,705650,377801,327849,-49952,309318,196440,112878,-83562,5036271,139446,4896825,4757379,3837740,300361,3537379,3237018,2666607,224066,2442541,2218475,3943030,314981,3628049,3313068,7771379,278218,7493161,7214943,6787376,285490,6501886,6216396,7510117,120867,7389250,7268383,3603547,3186,3600361,3597175,6963914,4976,6958938,6953962,7778355,86341,7692014,7605673,6272587,30879,6241708,6210829,1998480,29460,1969020,1939560,2196524,17601,2178923,2161322,1729008,18233,1710775,1692542,959989,20262,939727,919465,1105300,65140,1040160,975020,391040,3119,387921,384802
Albania,0,0,0,0,0,0,0,0,9144,9144,0,-9144,9299,9299,0,-9299,0,0,0,0,0,0,0,0,56942,56942,0,-56942,0,0,0,0,0,0,0,0,376718,376718,0,-376718,7409,7409,0,-7409,45380,0,45380,45380,289269,45774,243495,197721,1277,0,1277,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47910,0,47910,47910,362802,28348,334454,306106,376153,85915,290238,204323,182431,16775,165656,148881,77338,0,77338,77338,278929,13597,265332,251735,253423,135943,117480,-18463,1796556,1787295,9261,-1778034,708561,685859,22702,-663157,1079306,1065636,13670,-1051966,1359873,1114053,245820,-868233,184545,155600,28945,-126655,560633,468448,92185,-376263,453034,382274,70760,-311514,132863,81935,50928,-31007,154934,115500,39434,-76066,82852,35589,47263,11674,148976,106200,42776,-63424
Algeria,688000,0,688000,688000,7748738,6520690,1228048,-5292642,20628500,19246617,1381883,-17864734,3381367,4316,3377051,3372735,2305495,243977,2061518,1817541,514522,370361,144161,-226200,775993,129241,646752,517511,1105853,53387,1052466,999079,3347981,1830112,1517869,-312243,1497379,578273,919106,340833,3058512,146434,2912078,2765644,4540014,1741675,2798339,1056664,3214329,670205,2544124,1873919,1698603,21115,1677488,1656373,4799503,4118884,680619,-3438265,8562181,7753025,809156,-6943869,3402031,1235796,2166235,930439,13614651,12180335,1434316,-10746019,31690404,30162320,1528084,-28634236,25343917,24055541,1288376,-22767165,3449213,1157945,2291268,1133323,2632317,16412,2615905,2599493,5588815,1145,5587670,5586525,4602037,40520,4561517,4520997,12544293,5996955,6547338,550383,4499479,1867019,2632460,765441,36799641,33903517,2896124,-31007393,22123779,18868652,3255127,-15613525,2756363,125247,2631116,2505869,2551395,199536,2351859,2152323,93763817,92059876,1703941,-90355935,54829094,52632674,2196420,-50436254,73583280,71003862,2579418,-68424444,1717352,363615,1353737,990122,4226995,1308025,2918970,1610945,4921116,2099289,2821827,722538
American Samoa,328591,0,328591,328591,154012,0,154012,154012,166059,0,166059,166059,117817,0,117817,117817,233152,0,233152,233152,143546,150,143396,143246,339844,1617,338227,336610,926172,34118,892054,857936,367279,7298,359981,352683,1447792,67247,1380545,1313298,364935,110677,254258,143581,273541,32032,241509,209477,829178,34167,795011,760844,1162375,0,1162375,1162375,986069,0,986069,986069,1238139,0,1238139,1238139,948484,1042,947442,946400,1777045,334642,1442403,1107761,1152244,106,1152138,1152032,1357780,0,1357780,1357780,794201,102,794099,793997,677007,0,677007,677007,880544,853,879691,878838,728993,152,728841,728689,2718221,44743,2673478,2628735,3085111,514125,2570986,2056861,5276597,202629,5073968,4871339,7638487,6291665,1346822,-4944843,1356502,0,1356502,1356502,2101557,110572,1990985,1880413,1312673,410343,902330,491987,1473892,3168,1470724,1467556,3580988,110190,3470798,3360608,3260587,0,3260587,3260587,1957036,15264,1941772,1926508,737577,149,737428,737279
Andorra,0,0,0,0,0,0,0,0,8070,578,7492,6914,0,0,0,0,1182263,1182263,0,-1182263,42020,33491,8529,-24962,81588,0,81588,81588,50478,3643,46835,43192,3503,0,3503,3503,280371,0,280371,280371,713244,32039,681205,649166,474617,173169,301448,128279,441996,118553,323443,204890,281755,9600,272155,262555,254630,0,254630,254630,1992868,0,1992868,1992868,10886349,0,10886349,10886349,4815385,0,4815385,4815385,10052764,0,10052764,10052764,6089940,0,6089940,6089940,146144,0,146144,146144,166,0,166,166,415980,0,415980,415980,138276,0,138276,138276,1874822,423595,1451227,1027632,1690671,1487458,203213,-1284245,1725715,1384937,340778,-1044159,449420,417883,31537,-386346,1554193,1373971,180222,-1193749,266752,19170,247582,228412,1421956,796878,625078,-171800,565775,246302,319473,73171,565088,378485,186603,-191882,144697,105952,38745,-67207,81865,62348,19517,-42831,277559,254041,23518,-230523
Angola,0,0,0,0,0,0,0,0,105,105,0,-105,0,0,0,0,8377235,8242004,135231,-8106773,35543,23900,11643,-12257,337187,136910,200277,63367,1309690,25070,1284620,1259550,1104164,0,1104164,1104164,961982,58146,903836,845690,596100,0,596100,596100,343998,0,343998,343998,602555,199354,403201,203847,604995,256782,348213,91431,477947,0,477947,477947,297180,96474,200706,104232,997385,0,997385,997385,1624307,0,1624307,1624307,3528294,0,3528294,3528294,405377,1119,404258,403139,731541,15641,715900,700259,709107,116968,592139,475171,1125290,401192,724098,322906,999456,185554,813902,628348,999950,592501,407449,-185052,433872,72232,361640,289408,5401586,5075326,326260,-4749066,5873367,5519573,353794,-5165779,1809926,1418350,391576,-1026774,18586800,18127363,459437,-17667926,14934209,14518097,416112,-14101985,20692740,19944880,747860,-19197020,15629636,14248245,1381391,-12866854,2935019,2257194,677825,-1579369,4280270,1383023,2897247,1514224,1042074,596982,445092,-151890
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,2016,2016,0,0,0,0,1017,0,1017,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109189,109189,0,-109189,48764,28133,20631,-7502,73467,15467,58000,42533,23010,18510,4500,-14010,27197,27197,0,-27197,132868,132838,30,-132808,40491,40491,0,-40491,1545,1545,0,-1545,1800,400,1400,1000,0,0,0,0,0,0,0,0,0,0,0,0
Antartica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149140,149140,0,-149140,0,0,0,0,0,0,0,0,69841,69841,0,-69841,0,0,0,0,18495,12321,6174,-6147,2547,0,2547,2547,11113,0,11113,11113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,319,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10150,10150,0,-10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,300,300,0,-300,0,0,0,0,161,161,0,-161,297,297,0,-297,0,0,0,0,0,0,0,0
Antigua And Barbuda,210090,0,210090,210090,53534,0,53534,53534,0,0,0,0,13029,12279,750,-11529,152769,152769,0,-152769,159263,159263,0,-159263,85219,79106,6113,-72993,83464,46600,36864,-9736,132742,0,132742,132742,340090,144608,195482,50874,717263,0,717263,717263,114015,24102,89913,65811,279998,66741,213257,146516,30659,0,30659,30659,33817,1853,31964,30111,6301,0,6301,6301,174825,1786,173039,171253,5399,399,5000,4601,619349,634,618715,618081,24513,105,24408,24303,91393,2334,89059,86725,575058,0,575058,575058,964945,910391,54554,-855837,176652,0,176652,176652,104470,23926,80544,56618,2324212,2275462,48750,-2226712,2429794,2393970,35824,-2358146,800,0,800,800,10653,0,10653,10653,87939,87568,371,-87197,7722,2144,5578,3434,1814,1764,50,-1714,6766,0,6766,6766,6001522,6001490,32,-6001458,7705,505,7200,6695,612,0,612,612
Argentina,14617944,13640905,977039,-12663866,12466401,8622560,3843841,-4778719,10276098,4268354,6007744,1739390,18697402,11481563,7215839,-4265724,24934508,17894535,7039973,-10854562,61886241,48913333,12972908,-35940425,45677806,30475356,15202450,-15272906,40767312,32247254,8520058,-23727196,48728845,21771309,26957536,5186227,20847135,15195913,5651222,-9544691,92768081,86475520,6292561,-80182959,155780947,155005303,775644,-154229659,206735909,202356007,4379902,-197976105,270265298,263971685,6293613,-257678072,258078283,246879177,11199106,-235680071,243224662,218026839,25197823,-192829016,350116944,321787486,28329458,-293458028,357940573,326926124,31014449,-295911675,384680201,341702661,42977540,-298725121,301988860,265211389,36777471,-228433918,347208202,282787642,64420560,-218367082,307431677,257357775,50073902,-207283873,401048025,348758029,52289996,-296468033,527342662,480240655,47102007,-433138648,279909801,230016420,49893381,-180123039,406384627,328084019,78300608,-249783411,406845678,300473660,106372018,-194101642,407468634,294736943,112731691,-182005252,417125475,339036062,78089413,-260946649,283430731,209564536,73866195,-135698341,430125258,333860243,96265015,-237595228,674822006,573496832,101325174,-472171658,469769797,383331308,86438489,-296892819,441910292,357926602,83983690,-273942912,306656102,210669636,95986466,-114683170,128769419,98905934,29863485,-69042449
