year,Exports,Imports,balance,total_trade
1991,8839513852,12856696954,-4017183102,21696210806
1992,9824314301,15461839944,-5637525643,25286154245
1993,11374805286,18757314122,-7382508836,30132119408
1994,13482895542,22637982830,-9155087288,36120878372
1995,17447186135,28487358997,-11040172862,45934545132
1996,20542546399,34701209012,-14158662613,55243755411
1997,25227702630,38580947478,-13353244848,63808650108
1998,29496352868,31529885656,-2033532788,61026238524
1999,35036892660,32568149818,2468742842,67605042478
2000,38078249794,37002401766,1075848028,75080651560
2001,32150202692,34939188056,-2788985364,67089390748
2002,35208158692,41091962443,-5883803751,76300121135
2003,36231205444,42575743276,-6344537832,78806948720
2004,39680520480,46102141035,-6421620555,85782661515
2005,41254683469,49487422030,-8232738561,90742105499
2006,47410117340,54077989752,-6667872412,101488107092
2007,50465723919,57995752472,-7530028553,108461476391
2008,49077540509,60419669159,-11342128650,109497209668
2009,38435806160,45877743748,-7441937588,84313549908
2010,51497514607,58467804549,-6970289942,109965319156
2011,48304928134,64096587857,-15791659723,112401515991
2012,52099520662,65839335478,-13739814816,117938856140
2013,56697864938,65738697063,-9040832125,122436562001
2014,62101619193,68704471282,-6602852089,130806090475
2015,58827235355,74749628846,-15922393491,133576864201
2016,57406123708,89435120558,-32028996850,146841244266
2017,68712897400,101901846103,-33188948703,170614743503
2018,69307425788,119002907789,-49695482001,188310333577
2019,70926981841,117374283553,-46447301712,188301265394
2020,65214516368,95161287880,-29946771512,160375804248
2021,74693108276,123499145799,-48806037523,198192254075
2022,79574105032,145132358354,-65558253322,224706463386
2023,73617115492,133866620817,-60249505325,207483736309
2024,73268718497,135119959657,-61851241160,208388678154
2025,84479874185,141852292534,-57372418349,226332166719
