year,direction,country,region,is_europe,is_asean,is_resid,value_usd
1991,Exports,UNITED STATES,North America,FALSE,FALSE,FALSE,3166493788
1991,Exports,JAPAN,East Asia,FALSE,FALSE,FALSE,1771300945
1991,Exports,GERMANY,Europe,TRUE,FALSE,FALSE,502393298
1991,Exports,HONG KONG,East Asia,FALSE,FALSE,FALSE,391619506
1991,Exports,UNITED KINGDOM,Europe,TRUE,FALSE,FALSE,371641799
1991,Exports,NETHERLANDS,Europe,TRUE,FALSE,FALSE,338415921
1991,Exports,SINGAPORE,ASEAN,FALSE,TRUE,FALSE,229454164
1991,Exports,"KOREA, REP. (SOUTH)",East Asia,FALSE,FALSE,FALSE,227920934
1991,Exports,THAILAND,ASEAN,FALSE,TRUE,FALSE,220814861
1991,Exports,TAIWAN,East Asia,FALSE,FALSE,FALSE,209722331
1991,Exports,FRANCE,Europe,TRUE,FALSE,FALSE,164844832
1991,Exports,CANADA,North America,FALSE,FALSE,FALSE,145667989
1991,Exports,CHINA,East Asia,FALSE,FALSE,FALSE,127768882
1991,Exports,MALAYSIA,ASEAN,FALSE,TRUE,FALSE,123266175
1991,Exports,AUSTRALIA,Oceania,FALSE,FALSE,FALSE,103897876
1991,Exports,BELGIUM,Europe,TRUE,FALSE,FALSE,84554112
1991,Exports,ITALY,Europe,TRUE,FALSE,FALSE,78497267
1991,Exports,UNITED ARAB EMIRATES,Middle East,FALSE,FALSE,FALSE,64697308
1991,Exports,SAUDI ARABIA,Middle East,FALSE,FALSE,FALSE,59457727
1991,Exports,SPAIN,Europe,TRUE,FALSE,FALSE,49280315
1991,Exports,INDONESIA,ASEAN,FALSE,TRUE,FALSE,41943460
1991,Exports,PANAMA CANAL ZONE,Rest of world,FALSE,FALSE,FALSE,35592485
1991,Exports,DENMARK,Europe,TRUE,FALSE,FALSE,29245046
1991,Exports,VIETNAM,ASEAN,FALSE,TRUE,FALSE,21205339
1991,Exports,SWEDEN,Europe,TRUE,FALSE,FALSE,20952778
1991,Exports,SWITZERLAND,Europe,TRUE,FALSE,FALSE,16849412
1991,Exports,INDIA,South Asia,FALSE,FALSE,FALSE,16675438
1991,Exports,RUSSIA,Rest of world,FALSE,FALSE,FALSE,15495206
1991,Exports,MEXICO,North America,FALSE,FALSE,FALSE,13212738
1991,Exports,NETHERLANDS ANTILLES (EXCLUDES ARUBA),Rest of world,FALSE,FALSE,FALSE,13059360
1991,Exports,AUSTRIA,Europe,TRUE,FALSE,FALSE,12432112
1991,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),Rest of world,FALSE,FALSE,FALSE,10160817
1991,Exports,MOZAMBIQUE,Rest of world,FALSE,FALSE,FALSE,9776060
