year,direction,country,group,value_usd
2007,Exports,AFGHANISTAN,"Prepared food, beverages & tobacco",85423
2007,Exports,AFGHANISTAN,Plastics & rubber,73073
2007,Exports,ALGERIA,Instruments & misc manufactures,1412636
2007,Exports,ALGERIA,Chemicals,464330
2007,Exports,ALGERIA,"Prepared food, beverages & tobacco",236183
2007,Exports,ALGERIA,Machinery & electrical,53086
2007,Exports,ANDORRA,Machinery & electrical,5367414
2007,Exports,ANDORRA,Instruments & misc manufactures,3809417
2007,Exports,ANDORRA,Transport equipment,1709518
2007,Exports,ANGOLA,Instruments & misc manufactures,513599
2007,Exports,ANGOLA,"Stone, glass & precious metals",464127
2007,Exports,ANGOLA,Machinery & electrical,12004
2007,Exports,ANGOLA,Textiles & apparel,7655
2007,Exports,ANTIGUA AND BARBUDA,Instruments & misc manufactures,172719
2007,Exports,ANTIGUA AND BARBUDA,Machinery & electrical,320
2007,Exports,ARGENTINA,Machinery & electrical,13737386
2007,Exports,ARGENTINA,Transport equipment,3900905
2007,Exports,ARGENTINA,Plastics & rubber,3446306
2007,Exports,ARGENTINA,Instruments & misc manufactures,2971303
2007,Exports,ARGENTINA,Textiles & apparel,2041611
2007,Exports,ARGENTINA,Vegetable products & oils,1033194
2007,Exports,ARGENTINA,Chemicals,658866
2007,Exports,ARGENTINA,"Stone, glass & precious metals",214139
2007,Exports,ARGENTINA,Footwear & misc,136416
2007,Exports,ARGENTINA,"Prepared food, beverages & tobacco",85824
2007,Exports,ARGENTINA,"Hides, wood & paper",57126
2007,Exports,ARGENTINA,Base metals,29492
2007,Exports,ARGENTINA,Animal products,16890
2007,Exports,ARMENIA,"Prepared food, beverages & tobacco",29936
2007,Exports,ARMENIA,Instruments & misc manufactures,10450
2007,Exports,ARMENIA,Machinery & electrical,3756
2007,Exports,ARUBA,"Prepared food, beverages & tobacco",106202
2007,Exports,ARUBA,Instruments & misc manufactures,11139
2007,Exports,ARUBA,Vegetable products & oils,854
2007,Exports,ARUBA,Chemicals,359
2007,Exports,ARUBA,Machinery & electrical,261
2007,Exports,ARUBA,Animal products,207
2007,Exports,AUSTRALIA,Mineral products,219302522
2007,Exports,AUSTRALIA,Machinery & electrical,79677134
2007,Exports,AUSTRALIA,Instruments & misc manufactures,61213496
2007,Exports,AUSTRALIA,Base metals,44999604
2007,Exports,AUSTRALIA,Chemicals,27133044
2007,Exports,AUSTRALIA,Plastics & rubber,18317307
2007,Exports,AUSTRALIA,"Prepared food, beverages & tobacco",17831782
2007,Exports,AUSTRALIA,Transport equipment,15092229
2007,Exports,AUSTRALIA,Vegetable products & oils,13773525
2007,Exports,AUSTRALIA,"Stone, glass & precious metals",12529031
2007,Exports,AUSTRALIA,Textiles & apparel,9540829
2007,Exports,AUSTRALIA,"Hides, wood & paper",7306803
2007,Exports,AUSTRALIA,Footwear & misc,1229507
2007,Exports,AUSTRALIA,Animal products,467643
2007,Exports,AUSTRIA,Instruments & misc manufactures,51357164
2007,Exports,AUSTRIA,Machinery & electrical,13637501
