year,direction,region,value_usd
1991,Exports,ASEAN,637729406
1991,Exports,East Asia,2728401958
1991,Exports,Europe,1720884764
1991,Exports,Middle East,145689922
1991,Exports,North America,3325374515
1991,Exports,Oceania,106272544
1991,Exports,Rest of world,148406024
1991,Exports,South Asia,26754719
1991,Imports,ASEAN,1215823301
1991,Imports,East Asia,4870301973
1991,Imports,Europe,1557393284
1991,Imports,Middle East,1337001417
1991,Imports,North America,2792851305
1991,Imports,Oceania,492708528
1991,Imports,Rest of world,480384128
1991,Imports,South Asia,110233018
1992,Exports,ASEAN,551321345
1992,Exports,East Asia,2785764847
1992,Exports,Europe,1940635720
1992,Exports,Middle East,199119808
1992,Exports,North America,4038014586
1992,Exports,Oceania,116818660
1992,Exports,Rest of world,175566052
1992,Exports,South Asia,17073283
1992,Imports,ASEAN,1437861506
1992,Imports,East Asia,5965556465
1992,Imports,Europe,2052859035
1992,Imports,Middle East,1676539285
1992,Imports,North America,3051895924
1992,Imports,Oceania,619086462
1992,Imports,Rest of world,520271640
1992,Imports,South Asia,137769627
1993,Exports,ASEAN,797361311
1993,Exports,East Asia,3116345543
1993,Exports,Europe,2057917594
1993,Exports,Middle East,254388506
1993,Exports,North America,4625817644
1993,Exports,Oceania,120450055
1993,Exports,Rest of world,170174112
1993,Exports,South Asia,232350521
1993,Imports,ASEAN,2017713798
1993,Imports,East Asia,7409306822
1993,Imports,Europe,2285385153
1993,Imports,Middle East,1566133853
1993,Imports,North America,3939857452
1993,Imports,Oceania,613418593
1993,Imports,Rest of world,763387155
1993,Imports,South Asia,162111296
1994,Exports,ASEAN,1435229341
1994,Exports,East Asia,3595776091
1994,Exports,Europe,2406448522
1994,Exports,Middle East,228256681
1994,Exports,North America,5444924046
1994,Exports,Oceania,142939535
1994,Exports,Rest of world,199577914
1994,Exports,South Asia,29743412
1994,Imports,ASEAN,2618840947
1994,Imports,East Asia,9415155029
1994,Imports,Europe,2715921370
1994,Imports,Middle East,1669977217
1994,Imports,North America,4366561888
1994,Imports,Oceania,716658371
1994,Imports,Rest of world,946731216
1994,Imports,South Asia,188136792
1995,Exports,ASEAN,2367294146
1995,Exports,East Asia,4797651007
1995,Exports,Europe,3124918059
1995,Exports,Middle East,217791299
1995,Exports,North America,6497984100
1995,Exports,Oceania,146314513
1995,Exports,Rest of world,252870098
1995,Exports,South Asia,42362913
1995,Imports,ASEAN,3359712456
1995,Imports,East Asia,11324438935
1995,Imports,Europe,3280588838
1995,Imports,Middle East,2388968065
1995,Imports,North America,5720340644
1995,Imports,Oceania,916956501
1995,Imports,Rest of world,1269541906
1995,Imports,South Asia,226811652
1996,Exports,ASEAN,2970708890
1996,Exports,East Asia,5900236829
1996,Exports,Europe,3663737986
1996,Exports,Middle East,234301358
1996,Exports,North America,7293980754
1996,Exports,Oceania,165972977
1996,Exports,Rest of world,249910054
1996,Exports,South Asia,63697551
1996,Imports,ASEAN,4296468946
1996,Imports,East Asia,13295882466
1996,Imports,Europe,4276338001
1996,Imports,Middle East,2898310877
1996,Imports,North America,7153501462
1996,Imports,Oceania,989431938
1996,Imports,Rest of world,1480079854
1996,Imports,South Asia,311195468
1997,Exports,ASEAN,3436272339
1997,Exports,East Asia,7254606284
1997,Exports,Europe,4648783533
1997,Exports,Middle East,226298427
1997,Exports,North America,9144036919
1997,Exports,Oceania,212343013
1997,Exports,Rest of world,244491065
1997,Exports,South Asia,60871050
1997,Imports,ASEAN,5234824310
1997,Imports,East Asia,14782011028
1997,Imports,Europe,4803359976
1997,Imports,Middle East,2839891239
1997,Imports,North America,8018747719
1997,Imports,Oceania,1441234974
1997,Imports,Rest of world,1157287927
1997,Imports,South Asia,303590305
1998,Exports,ASEAN,3821087395
1998,Exports,East Asia,8171273806
1998,Exports,Europe,6120716712
1998,Exports,Middle East,234924792
1998,Exports,North America,10458373721
1998,Exports,Oceania,171396110
1998,Exports,Rest of world,459059754
1998,Exports,South Asia,59520578
1998,Imports,ASEAN,4721750311
1998,Imports,East Asia,12843568892
1998,Imports,Europe,3217084227
1998,Imports,Middle East,1897830067
1998,Imports,North America,7159048642
1998,Imports,Oceania,812167541
1998,Imports,Rest of world,677875569
1998,Imports,South Asia,200560407
1999,Exports,ASEAN,4989133538
1999,Exports,East Asia,11213138010
1999,Exports,Europe,6950929575
1999,Exports,Middle East,175575470
1999,Exports,North America,10945156651
1999,Exports,Oceania,228452410
1999,Exports,Rest of world,468624105
1999,Exports,South Asia,65882901
1999,Imports,ASEAN,4760179514
1999,Imports,East Asia,13484494401
1999,Imports,Europe,3184408197
1999,Imports,Middle East,2187958554
1999,Imports,North America,6913491700
1999,Imports,Oceania,893731966
1999,Imports,Rest of world,971500345
1999,Imports,South Asia,172385141
2000,Exports,ASEAN,5982617134
2000,Exports,East Asia,12218023802
2000,Exports,Europe,6972701517
2000,Exports,Middle East,200696247
2000,Exports,North America,12049815141
2000,Exports,Oceania,311203737
2000,Exports,Rest of world,247379780
2000,Exports,South Asia,95812436
2000,Imports,ASEAN,5888093327
2000,Imports,East Asia,14521780666
2000,Imports,Europe,3607735546
2000,Imports,Middle East,3796575049
2000,Imports,North America,7114987112
2000,Imports,Oceania,905495336
2000,Imports,Rest of world,956758368
2000,Imports,South Asia,210976362
2001,Exports,ASEAN,4986120103
2001,Exports,East Asia,10602928136
2001,Exports,Europe,6323266230
2001,Exports,Middle East,202276108
2001,Exports,North America,9449182901
2001,Exports,Oceania,246018455
