year,direction,country,mineral_type,value_usd
2007,Exports,CHINA,Copper (74),407589632
2007,Exports,SINGAPORE,Mineral fuels (27),400995402
2007,Exports,JAPAN,Metal ores & concentrates (26),362734520
2007,Exports,CHINA,Metal ores & concentrates (26),304777384
2007,Exports,"KOREA, REP. (SOUTH)",Copper (74),298848567
2007,Exports,AUSTRALIA,Mineral fuels (27),205334407
2007,Exports,HONG KONG,Gold (7108),188108905
2007,Exports,THAILAND,Copper (74),182058254
2007,Exports,JAPAN,Copper (74),148281326
2007,Exports,CHINA,Mineral fuels (27),129650234
2007,Exports,VIETNAM,Copper (74),111384842
2007,Exports,HONG KONG,Mineral fuels (27),100626070
2007,Exports,THAILAND,Mineral fuels (27),98838620
2007,Exports,TAIWAN,Copper (74),94273770
2007,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),Mineral fuels (27),77942114
2007,Exports,MALAYSIA,Mineral fuels (27),59155368
2007,Exports,HONG KONG,Copper (74),55049017
2007,Exports,TAIWAN,Mineral fuels (27),49853866
2007,Exports,MALAYSIA,Copper (74),48875354
2007,Exports,SINGAPORE,Copper (74),47470010
2007,Exports,AUSTRALIA,Copper (74),40447274
2007,Exports,VIETNAM,Mineral fuels (27),22895077
2007,Exports,INDONESIA,Mineral fuels (27),20690540
2007,Exports,ITALY,Copper (74),20386290
2007,Exports,SPAIN,"Salt, stone & earths (25)",17669000
2007,Exports,MALAYSIA,"Salt, stone & earths (25)",16031510
2007,Exports,"KOREA, REP. (SOUTH)",Mineral fuels (27),15320797
2007,Exports,AUSTRALIA,Metal ores & concentrates (26),13878456
2007,Exports,JAPAN,Gold (7108),10005805
2007,Exports,INDIA,Mineral fuels (27),8087622
2007,Exports,MALAYSIA,Gold (7108),7405888
2007,Exports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),5319241
2007,Exports,TAIWAN,"Salt, stone & earths (25)",5210007
2007,Exports,SWITZERLAND,Gold (7108),5148628
