year,direction,country,value_usd
2007,Exports,NETHERLANDS,3051831083
2007,Exports,HONG KONG,1649274492
2007,Exports,GERMANY,773660132
2007,Exports,SINGAPORE,576829975
2007,Exports,TAIWAN,402749478
2007,Exports,JAPAN,394222061
2007,Exports,"KOREA, REP. (SOUTH)",197650526
2007,Exports,UNITED STATES,125755918
2007,Exports,CHINA,63439351
2007,Exports,THAILAND,46293327
2007,Exports,MALAYSIA,43329019
2007,Exports,INDONESIA,27448992
2007,Exports,CZECH REPUBLIC,16775777
2007,Exports,AUSTRIA,11484822
2007,Exports,BELGIUM,8197834
2007,Exports,UNITED KINGDOM,5437754
2007,Exports,ANDORRA,5367414
2007,Exports,ITALY,2571870
2007,Exports,SPAIN,2236429
2007,Exports,CANADA,2231683
2007,Exports,MEXICO,1625751
2007,Exports,SWITZERLAND,1521523
2007,Exports,BRAZIL,1516714
2007,Exports,AUSTRALIA,718370
2007,Exports,ESTONIA,666492
2007,Exports,FRANCE,548145
2007,Exports,SWEDEN,540128
2007,Exports,INDIA,536341
2007,Exports,IRELAND,413992
2007,Exports,ISRAEL,406887
2007,Exports,"HONDURAS, REPUBLIC OF",294866
2007,Exports,PERU,251786
2007,Exports,HUNGARY,161764
2007,Exports,MOROCCO,132621
2007,Exports,BURUNDI,86648
2007,Exports,"SOUTH AFRICA, REP. OF",62440
2007,Exports,SLOVAKIA,56626
2007,Exports,ARGENTINA,50540
2007,Exports,PACIFIC TRUST TERRITORY,32640
2007,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),27833
2007,Exports,VIRGIN ISLANDS (BRITISH),22550
2007,Exports,VIETNAM,22252
2007,Exports,FINLAND,17444
2007,Exports,DENMARK,17012
2007,Exports,CAYMAN ISLANDS,11400
2007,Exports,PORTUGAL,11299
2007,Exports,WALLIS AND FUTUNA ISLANDS,8429
2007,Exports,FIJI,8226
2007,Exports,ROMANIA,5837
2007,Exports,POLAND,4250
2007,Exports,TURKEY,3703
2007,Exports,BULGARIA,2988
2007,Exports,COLOMBIA,799
2007,Exports,SRI LANKA (CEYLON),781
2007,Exports,BERMUDA,653
2007,Exports,ETHIOPIA,522
2007,Exports,UKRAINE,504
2007,Exports,JORDAN,402
2007,Exports,NORWAY,238
2007,Exports,SYRIAN ARAB REPUBLIC,177
2007,Exports,EGYPT ARAB REPUBLIC,115
2007,Exports,MALI (WEST AFRICA),115
2007,Exports,LUXEMBOURG,95
2007,Exports,CROATIA,76
2007,Exports,"PAKISTAN, ISLAMIC REP. OF",76
2007,Exports,SLOVENIA,65
2007,Exports,COSTA RICA,30
2007,Exports,BANGLADESH,25
2007,Imports,UNITED STATES,1907258326
2007,Imports,TAIWAN,1180707010
2007,Imports,JAPAN,1028592462
2007,Imports,"KOREA, REP. (SOUTH)",590463513
2007,Imports,SINGAPORE,496773673
2007,Imports,MALAYSIA,212138535
2007,Imports,GERMANY,184915874
2007,Imports,CHINA,177513912
2007,Imports,NETHERLANDS,158867656
2007,Imports,HONG KONG,104769026
2007,Imports,UNITED KINGDOM,99243315
2007,Imports,FRANCE,65205163
2007,Imports,THAILAND,49934164
2007,Imports,FINLAND,20052220
2007,Imports,NORWAY,8412383
2007,Imports,INDONESIA,7188640
2007,Imports,ISRAEL,5242570
2007,Imports,IRELAND,4330864
2007,Imports,SWITZERLAND,2644945
2007,Imports,CANADA,2323430
2007,Imports,BELGIUM,2208647
2007,Imports,AUSTRIA,2001596
2007,Imports,ITALY,1584792
2007,Imports,HUNGARY,1550041
2007,Imports,COSTA RICA,1327126
2007,Imports,INDIA,1291656
2007,Imports,CZECH REPUBLIC,1270724
2007,Imports,AUSTRALIA,1119928
2007,Imports,SPAIN,1060499
2007,Imports,"SOUTH AFRICA, REP. OF",924113
2007,Imports,DENMARK,857996
2007,Imports,VIETNAM,608879
2007,Imports,MEXICO,574478
2007,Imports,SWEDEN,142601
2007,Imports,BRAZIL,140657
2007,Imports,BRUNEI DARUSSALAM,131845
2007,Imports,UNITED ARAB EMIRATES,88593
2007,Imports,TURKEY,61137
2007,Imports,MALTA,34972
2007,Imports,ROMANIA,17755
2007,Imports,NEPAL,12492
2007,Imports,NIGERIA,10886
2007,Imports,SRI LANKA (CEYLON),9980
2007,Imports,POLAND,3328
2007,Imports,MACAU,3221
2007,Imports,BURUNDI,2657
2007,Imports,NEW ZEALAND,2406
2007,Imports,PORTUGAL,1861
2007,Imports,BULGARIA,969
2007,Imports,CHILE,389
2007,Imports,RUSSIA,333
2007,Imports,CUBA,288
2008,Exports,NETHERLANDS,2445919480
2008,Exports,HONG KONG,1801280669
2008,Exports,GERMANY,766903250
2008,Exports,JAPAN,452297320
2008,Exports,TAIWAN,320405821
2008,Exports,SINGAPORE,316187581
2008,Exports,"KOREA, REP. (SOUTH)",147503700
2008,Exports,UNITED STATES,94647038
2008,Exports,CHINA,70765880
2008,Exports,THAILAND,37666240
2008,Exports,INDONESIA,34975487
2008,Exports,MALAYSIA,32142598
2008,Exports,CZECH REPUBLIC,10602291
2008,Exports,SPAIN,9144319
2008,Exports,MEXICO,4544411
2008,Exports,AUSTRIA,4187863
2008,Exports,UNITED KINGDOM,4046400
2008,Exports,ANDORRA,2194039
2008,Exports,CANADA,1933409
2008,Exports,HUNGARY,1829204
2008,Exports,BELGIUM,1498924
2008,Exports,AUSTRALIA,1143577
2008,Exports,FRANCE,1023491
2008,Exports,ISRAEL,788812
2008,Exports,ESTONIA,779944
2008,Exports,INDIA,758838
2008,Exports,SWITZERLAND,634239
2008,Exports,BRAZIL,451619
2008,Exports,SWEDEN,434729
2008,Exports,POLAND,395725
2008,Exports,SAUDI ARABIA,245801
2008,Exports,TURKEY,240821
2008,Exports,COSTA RICA,217186
2008,Exports,BURUNDI,198970
2008,Exports,FINLAND,188745
2008,Exports,ROMANIA,187008
2008,Exports,MOROCCO,177039
2008,Exports,ITALY,166718
2008,Exports,PORTUGAL,115940
2008,Exports,"SOUTH AFRICA, REP. OF",102082
2008,Exports,LIECHTENSTEIN,101986
2008,Exports,ARGENTINA,76758
2008,Exports,LESOTHO,44744
2008,Exports,SLOVAKIA,43879
2008,Exports,GEORGIA,17323
2008,Exports,NEPAL,15325
2008,Exports,IRELAND,12051
2008,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),11380
2008,Exports,BULGARIA,9233
2008,Exports,BANGLADESH,9120
2008,Exports,VIRGIN ISLANDS (BRITISH),7258
2008,Exports,VIETNAM,7253
2008,Exports,SLOVENIA,4950
2008,Exports,COLOMBIA,3561
2008,Exports,DENMARK,2420
2008,Exports,"PAKISTAN, ISLAMIC REP. OF",1616
2008,Exports,SWAZILAND,1187
2008,Exports,UKRAINE (UKRAINIAN S.S.R.),1073
2008,Exports,NORWAY,964
2008,Exports,EGYPT ARAB REPUBLIC,836
2008,Exports,NIGER,616
2008,Exports,MACAU,482
2008,Exports,JORDAN,431
2008,Exports,PERU,365
2008,Exports,BOLIVIA,333
2008,Exports,RUSSIA,280
